,0,0
20.85,218.0,3.2282143265330205
24.14,161.0,3.085592094101094
28.36,236.0,3.2886267875179405
30.75,192.0,3.1636747959323324
31.84,224.0,3.241711576779641
34.15,226.0,3.2456229273452166
37.08,154.0,3.055318180827276
40.38,236.0,3.287558068788479
42.78,279.0,3.4123182727127785
42.84,247.0,3.2988767492797715
46.62,102.0,2.864537768625586
49.9,194.0,3.169635244230064
55.14,56.0,2.582594908380341
56.53,192.0,3.167036012916295
57.89,250.0,3.311479357471171
62.48,197.0,3.178150544234266
69.66,149.0,3.0433928909325765
74.11,202.0,3.1938095895837253
76.63,118.0,2.922436987832218
80.87,203.0,3.1940309366406656
83.71,245.0,3.298410724411075
84.72,142.0,3.025423036425485
85.85,231.0,3.26647587647943
97.05,383.0,3.876718972040366
103.08,340.0,3.611355617813503
104.63,336.0,3.5764389102195335
108.47,113.0,2.9138750607780914
116.12,168.0,3.123048781838273
119.68,176.0,3.1366525677861485
123.31,269.0,3.3847081352307686
130.85,250.0,3.306562571815354
132.36,121.0,2.935233517743533
137.76,130.0,2.9982440582701946
139.57,220.0,3.2364051137896035
145.73,114.0,2.915853855507608
156.82,98.0,2.835829467236309
163.76,241.0,3.2943900182004877
165.21,160.0,3.0794108570834444
170.2,84.0,2.7742456185907804
177.98,280.0,3.416535444348725
183.9,102.0,2.863659584345397
186.88,67.0,2.649358362693543
194.45,100.0,2.8630535850887315
207.92,104.0,2.8686148067087736
213.47,334.0,3.5759253233860635
216.06,127.0,2.9485892752943488
223.17,84.0,2.774837034828851
232.84,301.0,3.4805934154957248
242.07,78.0,2.7231729510323177
247.12,255.0,3.3314639555025316
247.51,370.0,3.7675788217996073
251.08,204.0,3.1945442879993364
261.95,289.0,3.44147388382336
269.51,296.0,3.459400870634939
270.94,324.0,3.538454890067726
272.55,383.0,3.908543013552828
279.23,314.0,3.5118810294313594
280.17,22.0,2.12999595896424
285.16,154.0,3.0573234111466827
293.5,44.0,2.438355863365694
298.07,135.0,3.013508655427196
302.6,180.0,3.140414249828924
317.67,177.0,3.1378701231054467
323.52,146.0,3.0360423005839787
328.18,62.0,2.6170244256190607
333.21,205.0,3.1987533394260845
340.2,183.0,3.142599193776542
342.13,196.0,3.1732959536264134
351.45,183.0,3.1431130191865906
352.0,144.0,3.0301736344802634
357.71,166.0,3.1197607697302967
363.59,91.0,2.8106615720261203
366.71,159.0,3.075681425916826
371.64,75.0,2.694253434842631
383.92,33.0,2.3007478784338997
384.98,291.0,3.441665217615657
407.28,63.0,2.626111588717741
411.71,67.0,2.654513462588582
425.39,239.0,3.2916536333611024
430.3,189.0,3.160484358150744
434.51,227.0,3.2527323334074936
435.64,152.0,3.0546930174781832
446.37,82.0,2.752525322516364
449.96,47.0,2.493967303197259
458.97,45.0,2.4508021605439367
460.69,30.0,2.2481514268768645
485.39,32.0,2.2966586178755706
487.13,242.0,3.294636556110214
490.95,100.0,2.8608006687898184
493.27,167.0,3.1212416275045305
506.59,121.0,2.9420184637765177
516.51,375.0,3.7948186907526735
548.65,370.0,3.7840650176103687
549.76,95.0,2.832679723675886
561.16,23.0,2.14648173638921
579.63,362.0,3.7213949368131463
584.51,109.0,2.8994070548063
597.3,51.0,2.5009391552499043
612.53,213.0,3.2205422987222097
632.53,80.0,2.731670159649772
644.22,140.0,3.021277584482013
658.28,8.0,1.8301436833207532
671.02,190.0,3.1631811979252444
701.94,94.0,2.814573961744543
711.94,179.0,3.139653575121316
715.86,266.0,3.3687253096467007
720.06,228.0,3.257230295266914
725.58,357.0,3.6917535122356226
728.43,368.0,3.7642759738234615
729.93,106.0,2.870410424165332
732.25,324.0,3.5385888893248625
737.37,316.0,3.5172400482128454
739.73,368.0,3.764920912590689
751.06,292.0,3.4500154741158067
753.0,175.0,3.1352847886968176
763.11,346.0,3.629117933944885
772.79,256.0,3.335802910332854
778.21,359.0,3.693215733082032
786.78,208.0,3.202064126507463
798.91,13.0,1.9770568118902145
801.24,172.0,3.1321040089875254
803.46,215.0,3.222080014119473
808.22,294.0,3.451991359831319
816.06,157.0,3.058741609867182
828.63,211.0,3.2096285352686387
829.51,348.0,3.632851950157709
835.04,65.0,2.639068127082739
835.42,321.0,3.534442436699388
836.22,71.0,2.671635598548135
847.15,314.0,3.5115673769137
847.26,334.0,3.567535174585882
856.31,119.0,2.9276805256214526
862.71,344.0,3.6209536951104555
869.58,137.0,3.0189695082624852
872.52,261.0,3.3526666244832435
888.56,310.0,3.5088193790045294
890.47,25.0,2.1541667768982378
893.17,254.0,3.3194582442186866
898.04,285.0,3.431372146231492
905.95,258.0,3.349744508809349
911.72,306.0,3.4929600022586778
919.14,49.0,2.5007247176159995
919.74,246.0,3.2985004184316296
928.83,170.0,3.1238587060268106
929.42,209.0,3.202698870770488
931.08,282.0,3.4224485140726038
948.92,7.0,1.7501393645843812
950.93,295.0,3.4538130535747853
952.22,185.0,3.1434945922782704
965.15,158.0,3.065108266494426
971.1,169.0,3.1235374677865613
971.44,374.0,3.79001957414796
976.88,155.0,3.0582604386454997
980.39,395.0,4.255426651520048
982.25,352.0,3.659488612785406
991.85,339.0,3.5969192038391364
992.39,200.0,3.191409947597154
993.43,127.0,2.969063713652395
1005.92,319.0,3.53161333261205
1007.37,331.0,3.5588562972803115
1009.2,232.0,3.2683518334625834
1009.91,304.0,3.4893958850121125
1010.81,248.0,3.2993419300078197
1017.4,325.0,3.5404957374551462
1022.6,252.0,3.3147224404218405
1024.23,216.0,3.224863841625457
1026.36,89.0,2.794453475595426
1029.77,146.0,3.03182612556989
1030.76,340.0,3.5979570559947587
1035.09,211.0,3.2155825330524057
1040.6,278.0,3.410265569105184
1041.09,200.0,3.190387780570269
1042.14,188.0,3.15931235446941
1045.32,40.0,2.414476062164693
1045.5,69.0,2.6613715314490447
1049.92,252.0,3.316416316187662
1050.39,135.0,3.0126638344903918
1052.2,109.0,2.903281048304525
1053.99,332.0,3.5623814078262703
1057.02,120.0,2.9288721747207846
1069.42,25.0,2.185971951860852
1071.79,123.0,2.942221002242499
1078.32,198.0,3.1807599561642883
1085.14,328.0,3.544767853056979
1094.48,244.0,3.2949956898122252
1095.05,234.0,3.269988524151796
1097.1,221.0,3.2372362076372774
1098.23,268.0,3.383878295027116
1106.07,230.0,3.261004481756889
1117.42,11.0,1.940877677922255
1119.05,19.0,2.0842530417283056
1125.74,215.0,3.222358925293765
1127.83,194.0,3.172779441501227
1135.53,126.0,2.9446832146911888
1144.03,303.0,3.486671782165439
1155.69,307.0,3.4987921226792045
1156.9,181.0,3.140629021485313
1173.29,133.0,3.001491022997455
1178.83,377.0,3.8321310827593336
1184.15,53.0,2.528192381045961
1193.46,16.0,2.052028084931815
1198.55,264.0,3.362849204509315
1200.61,235.0,3.2758053825562974
1207.18,229.0,3.2575515107503374
1207.6,52.0,2.504756358756428
1208.47,264.0,3.3640893373584175
1213.37,319.0,3.5295197803716722
1228.52,249.0,3.300550626623763
1233.25,362.0,3.7101313203036734
1238.57,159.0,3.0677499916993667
1240.41,72.0,2.6845740576353125
1240.43,263.0,3.359645151030856
1241.51,268.0,3.3708372999274734
1246.59,306.0,3.491978247410197
1248.36,98.0,2.857925702707335
1249.32,300.0,3.479908662878806
1250.76,139.0,3.0205006041041385
1251.69,87.0,2.780334726422243
1255.55,110.0,2.90645939523236
1257.22,297.0,3.464250277906781
1261.44,297.0,3.471502337903472
1265.18,128.0,2.976006005662452
1266.15,344.0,3.6243673738250815
1269.5,131.0,3.001313404225433
1274.08,260.0,3.3504715841601667
1274.3,224.0,3.2414914359809623
1277.62,270.0,3.3877175419622496
1282.1,347.0,3.631092773763677
1282.37,360.0,3.7013442659413385
1285.2,124.0,2.9433270759216783
1287.19,271.0,3.392429755941562
1288.58,341.0,3.61141002188995
1290.01,90.0,2.8105563395271616
1292.04,187.0,3.1567453867566915
1292.51,310.0,3.5050092073275554
1295.5,164.0,3.1065159232253454
1296.5,285.0,3.429416898663436
1298.1,93.0,2.8130665646432385
1299.24,77.0,2.7059633517042783
1300.32,36.0,2.336830924492094
1303.93,299.0,3.4788125074195952
1306.55,133.0,3.0125810238770336
1308.22,355.0,3.6773426994979808
1311.61,301.0,3.481201383211336
1313.39,49.0,2.500850456586205
1315.15,277.0,3.404238841723734
1319.26,96.0,2.8339399240622294
1329.71,208.0,3.201503588484229
1337.04,198.0,3.182252367667566
1339.5,151.0,3.050674763149812
1340.95,61.0,2.6139877501296747
1341.82,185.0,3.146378938390387
1348.01,327.0,3.541819218969294
1350.53,349.0,3.646842806951708
1352.92,327.0,3.5416859482959437
1354.29,113.0,2.9143693945267173
1355.31,142.0,3.023614182988853
1355.64,42.0,2.4261156461208726
1358.31,288.0,3.4387200945205594
1358.67,395.0,4.272540874663208
1360.47,275.0,3.402367609506606
1360.65,284.0,3.4243525882425896
1361.87,262.0,3.355569898948523
1362.33,289.0,3.439256885400658
1363.14,379.0,3.842283186936392
1374.05,41.0,2.421844180863741
1376.64,116.0,2.916555299238545
1385.14,388.0,4.026741677559289
1386.8,22.0,2.093071989580035
1387.6,73.0,2.684908528252759
1393.78,4.0,1.624898663684402
1396.37,9.0,1.9087189964867335
1405.08,18.0,2.063775580698547
1410.43,365.0,3.749483868364285
1412.41,230.0,3.260986986611021
1412.55,69.0,2.661375456190688
1413.26,254.0,3.322672699405108
1414.34,312.0,3.510862734314912
1415.22,60.0,2.613609828063098
1416.31,355.0,3.682954424858112
1418.0,219.0,3.2317001978062487
1418.37,27.0,2.2355356238821558
1418.48,165.0,3.1176160264027635
1419.24,163.0,3.0871728331078843
1419.84,333.0,3.5632875108481175
1421.72,81.0,2.747830137590282
1422.45,281.0,3.420526700842608
1423.47,364.0,3.7278287691890495
1425.31,330.0,3.5463223661488903
1426.07,38.0,2.406971043960735
1426.55,72.0,2.67395510463959
1427.13,291.0,3.441975727750733
1427.87,274.0,3.4000427141252
1428.88,343.0,3.618257660198113
1429.4,320.0,3.5337585774399423
1429.8,385.0,3.9306296148913313
1430.02,388.0,4.042312007235294
1430.62,38.0,2.3599657202355453
1430.96,144.0,3.029357468882343
1431.97,220.0,3.237088760745663
1434.09,103.0,2.866742842924033
1434.19,136.0,3.013990017719471
1436.21,106.0,2.8770810730705154
1439.34,21.0,2.0854658082846336
1439.75,366.0,3.761312725874655
1440.97,345.0,3.625172504068889
1442.62,309.0,3.501297849903934
1445.06,266.0,3.3705184256615235
1445.65,15.0,2.01048395120176
1445.88,174.0,3.1349857698868537
1446.13,147.0,3.038512158109139
1446.29,385.0,3.968060935670379
1448.86,19.0,2.078628072384686
1474.35,27.0,2.1986150364873582
1659.89,78.0,2.7229687050891505
1662.36,393.0,4.246056558963664
1719.73,56.0,2.5671182628003955
1761.39,391.0,4.23423620796751
2867.51,8.0,1.7908829122900458
2893.73,15.0,2.036055229351695
2897.1,65.0,2.638460860724903
2900.3,387.0,4.013212400330651
2900.71,287.0,3.431581112920838
2901.54,10.0,1.934265716162252
2901.88,372.0,3.78697787813932
2903.85,375.0,3.802824573615578
2907.03,239.0,3.2931440033472588
2907.6,390.0,4.17810462534622
2909.15,94.0,2.8178648963440867
2909.69,80.0,2.734219395260176
2910.38,363.0,3.7260668308612725
2912.21,174.0,3.1322621086733937
2912.81,204.0,3.196144405192296
2913.84,323.0,3.5354014813047123
2914.24,381.0,3.86385572955744
2914.67,123.0,2.9428840115654085
2915.49,172.0,3.131252935478537
2915.77,312.0,3.511300592656379
2917.53,305.0,3.490853712418705
2921.41,399.0,4.489495817836135
2921.58,111.0,2.908215698045161
2921.85,85.0,2.77957417908538
2922.46,357.0,3.690593255825183
2922.76,389.0,4.070521460227625
2923.03,315.0,3.5121456399958966
2923.6,180.0,3.1403026415789603
2924.7,317.0,3.528279578488497
2926.39,76.0,2.695188153640073
2927.56,116.0,2.921890241523887
2934.24,337.0,3.591741700058495
2936.93,379.0,3.850023486280549
2936.99,42.0,2.4275391863697413
2938.02,47.0,2.475107886300652
2939.98,237.0,3.2904812149805185
2940.94,381.0,3.86417765202884
2941.87,359.0,3.6923304375416857
2942.69,213.0,3.217962300453882
2943.69,58.0,2.591498938680061
2944.58,352.0,3.6593095841829584
2948.83,108.0,2.894255645670752
2949.91,392.0,4.238544216138294
2953.51,257.0,3.3488187516354313
2955.74,273.0,3.39772114149491
2956.73,351.0,3.657708620039288
2957.26,337.0,3.5768463871642586
2961.32,148.0,3.042349169788622
2962.1,190.0,3.163036755079789
2962.44,34.0,2.3155803222115914
2964.57,88.0,2.791458352690323
2965.93,4.0,1.7243211911417395
2966.56,54.0,2.549916683166152
2968.6,223.0,3.24083311859312
2968.97,88.0,2.786316878843245
2970.16,151.0,3.050819348975232
2972.46,272.0,3.3969190550074155
2972.92,163.0,3.089395010125528
2973.54,3.0,1.5835428866045216
2975.97,33.0,2.301418859207052
2976.86,28.0,2.240047518998676
2980.63,31.0,2.276464463712684
2987.33,54.0,2.55145504653445
2989.48,130.0,2.998382381853887
2991.19,140.0,3.022209438243697
2993.04,400.0,5.433100501560935
2993.52,373.0,3.788694249657324
2997.5,401.0,6.420329424005013
2999.23,278.0,3.407874787303416
3003.05,207.0,3.200270848983195
3007.48,397.0,4.317609456132502
3012.45,59.0,2.6048260790828914
3013.72,243.0,3.294909926713252
3016.99,399.0,4.9096494581022725
3024.58,377.0,3.8158519513754436
3037.75,36.0,2.319402726617988
3041.91,353.0,3.665602559532198
3042.39,397.0,4.476900954398388
3062.23,6.0,1.7404986750426703
3069.88,45.0,2.454264148375369
3070.75,1.0,1.3207869255697635
3082.65,58.0,2.5996918729719454
3093.64,13.0,1.985901419497132
3104.12,1.0,1.2711543977703657
