,0,1,2,3,4,5
0,0.0,0.0,0.0,0.0,0.0,0.0
1,340.0,147.0,3016.38,340.0,245.0,3017.0
2,348.0,64.0,355.21,347.0,226.0,355.02
3,98.0,262.0,1340.13,99.0,9.0,1339.58
4,10.0,326.0,2948.41,10.0,392.0,2947.06
5,399.0,40.0,3064.59,398.0,386.0,3065.57
6,62.0,229.0,1258.97,63.0,139.0,1259.99
7,99.0,126.0,2903.52,98.0,375.0,2904.84
8,158.0,270.0,1252.59,159.0,56.0,1251.25
9,171.0,370.0,1029.64,171.0,158.0,1031.7
10,9.0,316.0,2909.89,11.0,397.0,2911.06
11,216.0,240.0,1080.74,214.0,293.0,1079.4
12,256.0,220.0,1289.18,254.0,200.0,1287.78
13,175.0,171.0,1416.79,177.0,272.0,1418.27
14,4.0,252.0,1331.63,5.0,399.0,1329.33
15,27.0,244.0,729.66,25.0,336.0,731.53
16,249.0,257.0,58.77,249.0,145.0,61.58
17,27.0,327.0,2924.73,24.0,393.0,2925.05
18,318.0,195.0,2966.23,321.0,250.0,2965.42
19,331.0,87.0,447.65,328.0,251.0,446.83
20,268.0,107.0,2946.43,268.0,298.0,2949.59
21,145.0,111.0,1312.1,148.0,280.0,1313.19
22,68.0,394.0,1357.64,71.0,284.0,1358.87
23,180.0,275.0,964.68,181.0,90.0,968.15
24,392.0,60.0,2971.06,395.0,162.0,2973.56
25,98.0,379.0,1447.86,96.0,276.0,1444.27
26,155.0,189.0,331.71,156.0,195.0,335.97
27,36.0,386.0,2910.2,34.0,147.0,2914.1
28,66.0,144.0,979.8,69.0,8.0,983.37
29,282.0,280.0,2915.35,285.0,89.0,2919.12
30,292.0,118.0,765.15,288.0,219.0,768.1
31,23.0,357.0,2949.64,18.0,330.0,2949.34
32,107.0,187.0,2904.1,102.0,366.0,2903.52
33,17.0,382.0,2924.36,22.0,395.0,2925.16
34,383.0,53.0,1410.28,378.0,292.0,1411.46
35,49.0,365.0,1435.86,54.0,140.0,1434.33
36,329.0,69.0,212.96,334.0,117.0,214.72
37,31.0,346.0,2917.48,36.0,380.0,2919.5
38,160.0,156.0,1045.28,156.0,127.0,1041.6
39,3.0,254.0,3003.49,8.0,400.0,3005.73
40,84.0,206.0,1431.15,88.0,111.0,1434.91
41,13.0,310.0,1437.89,16.0,385.0,1433.16
42,389.0,43.0,1424.15,383.0,62.0,1423.71
43,202.0,192.0,53.41,208.0,147.0,54.31
44,80.0,236.0,1197.65,74.0,69.0,1196.71
45,118.0,381.0,732.08,119.0,31.0,738.08
46,382.0,7.0,1386.65,386.0,371.0,1391.27
47,145.0,280.0,1416.19,140.0,289.0,1419.72
48,264.0,73.0,2945.53,262.0,136.0,2951.44
49,115.0,339.0,1283.8,109.0,345.0,1282.04
50,142.0,201.0,2911.61,136.0,319.0,2909.81
51,209.0,271.0,1284.62,203.0,30.0,1282.67
52,309.0,293.0,2923.03,314.0,95.0,2919.01
53,286.0,93.0,225.27,280.0,172.0,227.64
54,288.0,161.0,37.74,283.0,159.0,41.96
55,110.0,185.0,733.59,104.0,363.0,730.93
56,84.0,357.0,1442.44,90.0,85.0,1439.5
57,136.0,346.0,990.14,142.0,268.0,993.2
58,377.0,25.0,2941.59,380.0,84.0,2935.39
59,259.0,227.0,418.6,255.0,45.0,412.97
60,239.0,109.0,115.58,242.0,276.0,121.84
61,384.0,17.0,1123.95,381.0,325.0,1117.53
62,266.0,143.0,1079.34,270.0,231.0,1073.48
63,350.0,67.0,361.2,357.0,274.0,362.5
64,214.0,264.0,77.11,219.0,282.0,82.23
65,368.0,61.0,1364.51,361.0,44.0,1366.87
66,331.0,63.0,913.87,334.0,58.0,907.09
67,299.0,115.0,3000.71,301.0,247.0,3007.88
68,14.0,305.0,2906.31,8.0,300.0,2901.75
69,370.0,71.0,1417.36,363.0,112.0,1420.27
70,337.0,17.0,1368.28,340.0,319.0,1375.26
71,194.0,122.0,2901.69,187.0,157.0,2904.92
72,220.0,287.0,2912.51,216.0,255.0,2919.39
73,129.0,209.0,1290.08,121.0,365.0,1290.76
74,23.0,321.0,1283.07,31.0,263.0,1281.37
75,109.0,311.0,1355.32,106.0,225.0,1362.98
76,113.0,368.0,943.17,117.0,207.0,935.97
77,92.0,260.0,1354.98,100.0,321.0,1357.18
78,120.0,376.0,1421.88,126.0,46.0,1427.79
79,31.0,334.0,1014.5,35.0,229.0,1007.04
80,174.0,258.0,1261.09,167.0,36.0,1256.33
81,70.0,392.0,1428.98,67.0,341.0,1420.65
82,39.0,383.0,2937.3,32.0,143.0,2931.71
83,47.0,340.0,1054.64,38.0,289.0,1054.53
84,400.0,7.0,3060.58,391.0,387.0,3061.53
85,191.0,312.0,55.67,185.0,214.0,48.89
86,33.0,207.0,1423.17,42.0,370.0,1422.14
87,388.0,11.0,3042.93,387.0,4.0,3051.94
88,397.0,51.0,1395.14,397.0,103.0,1404.24
89,142.0,239.0,1156.67,150.0,270.0,1152.32
90,343.0,3.0,2991.28,351.0,388.0,2986.66
91,193.0,237.0,291.84,191.0,250.0,300.91
92,120.0,372.0,1178.63,112.0,179.0,1173.8
93,284.0,33.0,1392.29,279.0,309.0,1384.23
94,220.0,337.0,1436.97,211.0,179.0,1433.74
95,102.0,294.0,1089.66,108.0,351.0,1097.25
96,333.0,77.0,462.63,342.0,123.0,466.2
97,275.0,173.0,86.88,269.0,199.0,79.25
98,59.0,378.0,1351.1,53.0,240.0,1358.75
99,285.0,182.0,1328.55,277.0,182.0,1334.3
100,235.0,265.0,24.62,225.0,206.0,24.82
101,143.0,170.0,2952.82,153.0,16.0,2953.1
102,312.0,120.0,167.51,302.0,153.0,167.15
103,230.0,248.0,1012.89,220.0,296.0,1012.52
104,398.0,83.0,2963.82,391.0,189.0,2956.53
105,139.0,340.0,140.66,147.0,326.0,134.43
106,154.0,342.0,1304.78,144.0,21.0,1307.12
107,351.0,42.0,496.92,353.0,173.0,486.78
108,230.0,120.0,2947.03,221.0,16.0,2952.12
109,7.0,332.0,2924.94,13.0,312.0,2933.46
110,165.0,285.0,109.77,159.0,93.0,118.3
111,147.0,215.0,932.28,146.0,348.0,921.72
112,375.0,57.0,1291.11,365.0,92.0,1294.84
113,177.0,179.0,2968.11,187.0,285.0,2964.16
114,186.0,287.0,1222.86,178.0,344.0,1230.17
115,320.0,47.0,587.48,330.0,136.0,591.75
116,357.0,1.0,2955.25,349.0,342.0,2962.73
117,286.0,91.0,530.15,281.0,260.0,520.39
118,366.0,31.0,650.27,355.0,213.0,649.81
119,374.0,50.0,1339.53,371.0,28.0,1350.33
120,353.0,10.0,1443.01,356.0,171.0,1431.78
121,5.0,331.0,2974.27,14.0,314.0,2966.79
122,197.0,88.0,848.37,193.0,296.0,859.44
123,349.0,32.0,1228.97,338.0,108.0,1233.62
124,316.0,61.0,1067.63,328.0,105.0,1067.52
125,51.0,315.0,749.08,39.0,228.0,748.96
126,68.0,389.0,1430.35,56.0,309.0,1430.73
127,116.0,225.0,1040.5,113.0,51.0,1052.27
128,30.0,269.0,1410.64,41.0,102.0,1415.82
129,2.0,101.0,2981.67,2.0,401.0,2994.14
130,141.0,241.0,876.32,140.0,34.0,888.8
131,263.0,152.0,60.37,258.0,112.0,71.98
132,385.0,24.0,1451.25,373.0,234.0,1455.83
133,304.0,56.0,568.55,307.0,36.0,556.05
134,256.0,167.0,124.05,251.0,150.0,112.17
135,191.0,197.0,363.07,191.0,238.0,350.17
136,90.0,199.0,1294.44,102.0,28.0,1299.31
137,200.0,116.0,1224.28,198.0,220.0,1237.09
138,133.0,365.0,1437.42,146.0,81.0,1437.87
139,363.0,38.0,913.9,376.0,183.0,915.29
140,176.0,186.0,287.21,166.0,65.0,278.66
141,66.0,284.0,1290.3,65.0,55.0,1303.44
142,218.0,211.0,40.11,207.0,116.0,47.52
143,20.0,331.0,1302.45,16.0,351.0,1289.64
144,275.0,249.0,2936.42,276.0,167.0,2922.99
145,188.0,200.0,740.37,175.0,354.0,736.48
146,185.0,234.0,329.87,174.0,193.0,321.72
147,300.0,175.0,438.09,313.0,252.0,443.14
148,355.0,5.0,1378.09,354.0,380.0,1392.05
149,232.0,13.0,2984.19,219.0,115.0,2978.78
150,225.0,256.0,841.68,215.0,118.0,851.66
151,35.0,350.0,2907.82,21.0,68.0,2910.13
152,20.0,291.0,1440.12,6.0,395.0,1442.65
153,154.0,129.0,1280.69,142.0,317.0,1272.92
154,236.0,191.0,62.55,250.0,217.0,65.5
155,335.0,22.0,1742.45,346.0,21.0,1733.02
156,16.0,325.0,2944.49,3.0,376.0,2938.0
157,224.0,312.0,347.54,213.0,142.0,337.95
158,321.0,19.0,1270.23,332.0,58.0,1279.92
159,377.0,34.0,794.51,390.0,258.0,801.89
160,364.0,80.0,886.32,379.0,195.0,886.23
161,278.0,245.0,34.43,265.0,232.0,26.8
162,388.0,42.0,1429.47,376.0,256.0,1438.61
163,311.0,153.0,1118.49,305.0,223.0,1132.34
164,297.0,150.0,261.78,294.0,131.0,246.95
165,327.0,79.0,455.17,312.0,159.0,457.47
166,182.0,117.0,2935.73,177.0,57.0,2921.17
167,277.0,105.0,242.36,266.0,169.0,253.2
168,246.0,223.0,1241.29,256.0,197.0,1253.11
169,260.0,161.0,174.04,275.0,210.0,169.81
170,219.0,111.0,1138.11,204.0,88.0,1142.68
171,234.0,272.0,991.39,245.0,151.0,1002.58
172,316.0,99.0,170.15,309.0,128.0,184.26
173,92.0,184.0,1159.4,98.0,202.0,1174.07
174,169.0,373.0,75.24,155.0,167.0,67.77
175,310.0,99.0,352.84,298.0,125.0,342.36
176,38.0,336.0,1353.59,22.0,192.0,1353.89
177,72.0,233.0,1412.77,56.0,11.0,1410.92
178,25.0,299.0,1421.67,10.0,393.0,1415.31
179,207.0,303.0,728.92,223.0,313.0,725.72
180,283.0,295.0,2900.2,287.0,350.0,2916.11
181,317.0,45.0,1409.99,307.0,184.0,1396.83
182,178.0,154.0,1006.58,185.0,340.0,1021.6
183,242.0,157.0,279.92,231.0,267.0,292.54
184,270.0,15.0,2996.11,254.0,19.0,3001.26
185,76.0,307.0,1290.34,76.0,128.0,1273.48
186,63.0,348.0,2914.52,80.0,359.0,2914.63
187,146.0,363.0,108.54,152.0,120.0,92.21
188,248.0,72.0,1362.12,264.0,210.0,1355.14
189,46.0,401.0,2998.21,51.0,2.0,3015.07
190,65.0,401.0,2993.52,82.0,6.0,2988.86
191,189.0,274.0,1421.09,172.0,181.0,1426.16
192,210.0,107.0,775.15,217.0,338.0,758.66
193,245.0,255.0,1220.42,261.0,324.0,1212.25
194,33.0,139.0,1384.3,51.0,5.0,1386.74
195,289.0,190.0,1423.86,292.0,53.0,1441.9
196,231.0,30.0,2940.12,222.0,236.0,2924.06
197,253.0,130.0,180.11,269.0,174.0,189.48
198,245.0,212.0,128.31,243.0,190.0,109.85
199,237.0,136.0,309.54,230.0,44.0,326.89
200,252.0,176.0,1296.2,248.0,178.0,1277.9
201,255.0,270.0,1448.6,273.0,51.0,1443.28
202,329.0,112.0,415.53,345.0,108.0,405.35
203,355.0,82.0,1206.38,342.0,197.0,1192.56
204,163.0,323.0,808.71,144.0,30.0,809.92
205,133.0,276.0,515.25,117.0,26.0,525.6
