8WN,8CNTZ
23.75,97.0
24.4,134.0
26.13,108.0
28.62,276.0
33.52,254.0
36.44,279.0
38.11,173.0
41.82,149.0
46.17,304.0
46.97,145.0
50.7,270.0
56.93,114.0
59.65,235.0
64.18,312.0
67.88,296.0
68.71,321.0
76.51,299.0
80.73,102.0
86.52,231.0
88.51,162.0
89.63,202.0
94.12,0.0
98.73,265.0
100.8,250.0
101.89,266.0
103.32,221.0
110.45,199.0
113.49,140.0
114.93,128.0
122.8,74.0
126.66,309.0
128.58,274.0
131.06,90.0
138.33,164.0
140.47,238.0
141.46,301.0
142.37,285.0
156.02,279.0
167.26,169.0
172.53,90.0
179.7,308.0
191.05,105.0
196.78,187.0
200.24,287.0
206.19,258.0
209.28,204.0
214.17,305.0
224.37,324.0
237.13,221.0
243.81,59.0
254.12,336.0
258.84,34.0
263.74,69.0
265.72,84.0
266.38,138.0
275.86,272.0
278.87,352.0
281.23,315.0
286.18,268.0
290.4,316.0
291.59,343.0
300.18,247.0
304.75,18.0
309.15,239.0
311.56,211.0
315.92,302.0
318.23,384.0
337.19,315.0
338.27,328.0
345.38,260.0
347.56,331.0
358.8,118.0
366.51,292.0
367.79,294.0
379.05,380.0
396.16,20.0
400.98,254.0
411.94,347.0
424.13,234.0
433.87,200.0
442.47,367.0
447.68,380.0
453.2,305.0
457.52,351.0
460.43,308.0
467.75,320.0
469.85,228.0
479.83,12.0
482.93,342.0
484.82,159.0
498.45,355.0
517.78,148.0
521.14,150.0
528.02,95.0
548.66,353.0
551.67,357.0
582.07,321.0
593.23,65.0
601.89,134.0
608.19,213.0
642.92,377.0
654.28,362.0
675.4,387.0
689.48,300.0
707.57,258.0
712.33,67.0
716.82,86.0
722.48,56.0
723.61,52.0
727.26,168.0
737.6,241.0
739.18,132.0
741.11,123.0
744.79,135.0
747.05,40.0
763.17,259.0
770.19,14.0
780.61,84.0
792.8,225.0
794.31,77.0
803.74,268.0
806.14,282.0
807.89,362.0
819.1,194.0
830.01,101.0
830.15,76.0
845.24,36.0
847.0,352.0
847.44,233.0
848.19,228.0
851.36,41.0
852.65,244.0
866.98,155.0
873.18,87.0
873.83,171.0
886.93,53.0
893.05,24.0
895.6,374.0
900.99,326.0
908.4,243.0
917.36,219.0
919.98,373.0
931.93,169.0
936.57,166.0
938.52,102.0
938.64,36.0
949.73,213.0
957.9,310.0
958.48,289.0
958.75,248.0
965.05,230.0
976.16,50.0
977.71,127.0
979.58,39.0
986.27,111.0
988.56,137.0
995.31,273.0
996.4,226.0
997.76,77.0
1002.14,183.0
1014.35,177.0
1014.98,216.0
1016.33,31.0
1019.25,157.0
1021.84,97.0
1023.69,74.0
1029.92,104.0
1031.13,247.0
1033.58,252.0
1036.35,68.0
1042.73,224.0
1043.29,138.0
1047.25,119.0
1050.79,264.0
1051.66,368.0
1055.42,348.0
1055.73,318.0
1059.05,328.0
1059.58,37.0
1063.86,186.0
1068.94,193.0
1069.75,318.0
1072.99,159.0
1080.39,110.0
1095.5,28.0
1098.09,237.0
1103.52,71.0
1104.38,266.0
1106.92,201.0
1115.41,393.0
1121.41,174.0
1122.94,189.0
1125.24,376.0
1141.02,195.0
1147.51,118.0
1151.53,87.0
1158.22,91.0
1169.16,71.0
1173.88,113.0
1183.41,246.0
1188.23,273.0
1189.01,313.0
1195.66,53.0
1200.85,379.0
1202.12,208.0
1212.56,61.0
1212.85,47.0
1226.93,191.0
1228.08,95.0
1229.14,27.0
1230.23,244.0
1234.4,337.0
1242.84,391.0
1246.99,314.0
1248.19,161.0
1253.66,142.0
1256.47,184.0
1256.78,152.0
1259.06,156.0
1260.83,324.0
1261.83,237.0
1264.04,106.0
1265.75,83.0
1266.76,124.0
1268.73,358.0
1273.36,339.0
1273.98,29.0
1279.95,188.0
1280.28,177.0
1285.64,22.0
1287.32,147.0
1289.26,201.0
1289.66,157.0
1290.62,8.0
1292.74,144.0
1294.47,73.0
1294.86,63.0
1296.5,117.0
1297.68,124.0
1304.75,375.0
1306.07,92.0
1309.07,88.0
1310.98,212.0
1316.09,108.0
1317.06,99.0
1325.3,334.0
1328.48,296.0
1333.16,276.0
1334.94,129.0
1335.68,17.0
1336.6,219.0
1338.97,40.0
1346.95,289.0
1348.9,363.0
1349.07,15.0
1350.18,209.0
1353.05,130.0
1355.76,222.0
1357.36,262.0
1360.88,10.0
1362.51,24.0
1362.71,257.0
1364.23,331.0
1364.79,283.0
1366.67,332.0
1373.76,340.0
1376.43,369.0
1384.39,68.0
1390.11,388.0
1390.65,58.0
1394.35,392.0
1394.45,293.0
1398.08,395.0
1409.99,80.0
1411.36,385.0
1412.44,283.0
1413.48,81.0
1414.27,115.0
1414.67,25.0
1417.54,335.0
1417.63,197.0
1418.16,278.0
1418.69,54.0
1420.5,48.0
1420.75,79.0
1422.4,198.0
1423.28,206.0
1423.48,27.0
1424.27,145.0
1424.64,141.0
1426.28,131.0
1426.83,234.0
1426.91,341.0
1427.9,224.0
1427.93,51.0
1428.95,2.0
1430.44,367.0
1431.2,256.0
1433.09,180.0
1434.15,358.0
1436.0,253.0
1437.74,286.0
1438.2,215.0
1440.53,98.0
1440.71,181.0
1442.14,19.0
1443.83,154.0
1443.85,34.0
1446.07,384.0
1447.16,350.0
1447.31,345.0
1449.18,347.0
1466.19,397.0
1481.1,395.0
1660.26,61.0
1672.3,43.0
1713.12,336.0
1760.96,291.0
2880.75,55.0
2886.53,366.0
2899.32,12.0
2901.36,4.0
2901.53,280.0
2904.05,191.0
2904.87,21.0
2906.76,360.0
2906.95,251.0
2907.9,57.0
2908.38,6.0
2908.87,153.0
2909.17,171.0
2910.65,120.0
2913.71,32.0
