4CNTZ,4CNTR,4WN,5WN,5CNTZ,5CNTR
250.0,128.0,20.57,24.82,225.0,206.0
228.0,289.0,23.35,26.8,265.0,232.0
223.0,178.0,24.81,33.26,165.0,225.0
329.0,267.0,29.16,35.73,200.0,186.0
209.0,279.0,31.97,41.34,95.0,347.0
330.0,230.0,33.23,41.96,283.0,159.0
171.0,275.0,35.07,45.99,237.0,204.0
159.0,209.0,39.68,47.52,207.0,116.0
245.0,166.0,42.95,48.89,185.0,214.0
165.0,195.0,44.25,52.51,123.0,272.0
276.0,255.0,46.01,54.31,208.0,147.0
187.0,109.0,51.98,57.79,130.0,121.0
238.0,227.0,54.59,61.05,211.0,208.0
256.0,187.0,55.23,61.58,249.0,145.0
130.0,145.0,58.99,65.5,250.0,217.0
164.0,223.0,63.56,67.77,155.0,167.0
42.0,387.0,73.02,71.98,258.0,112.0
221.0,213.0,78.98,79.25,269.0,199.0
354.0,274.0,81.01,82.23,219.0,282.0
241.0,127.0,84.06,84.4,84.0,306.0
84.0,91.0,91.85,87.62,94.0,264.0
233.0,122.0,94.82,91.03,259.0,134.0
217.0,273.0,100.19,92.21,152.0,120.0
116.0,322.0,104.34,93.78,112.0,190.0
186.0,153.0,107.44,101.33,237.0,177.0
195.0,244.0,110.7,108.69,59.0,263.0
249.0,239.0,113.49,109.85,243.0,190.0
160.0,231.0,117.38,112.17,251.0,150.0
168.0,249.0,118.18,118.3,159.0,93.0
129.0,112.0,123.67,121.84,242.0,276.0
109.0,52.0,126.48,123.78,169.0,186.0
308.0,290.0,129.58,130.9,322.0,131.0
293.0,202.0,132.8,134.43,147.0,326.0
142.0,301.0,135.75,138.35,37.0,372.0
308.0,162.0,138.96,149.12,240.0,165.0
195.0,53.0,142.83,156.04,238.0,231.0
33.0,389.0,149.71,157.95,295.0,121.0
260.0,102.0,157.36,167.15,302.0,153.0
301.0,218.0,163.32,169.66,199.0,331.0
235.0,125.0,168.34,169.81,275.0,210.0
128.0,329.0,172.35,179.66,94.0,42.0
332.0,291.0,176.81,184.26,309.0,128.0
290.0,183.0,182.36,189.48,269.0,174.0
272.0,165.0,185.83,193.14,18.0,371.0
211.0,176.0,188.57,199.41,202.0,286.0
287.0,163.0,200.01,208.28,73.0,43.0
122.0,50.0,207.45,214.72,334.0,117.0
124.0,269.0,220.93,227.64,280.0,172.0
317.0,99.0,226.08,230.04,245.0,47.0
251.0,96.0,233.15,237.0,235.0,290.0
266.0,115.0,239.3,246.95,294.0,131.0
280.0,213.0,250.12,253.2,266.0,169.0
95.0,365.0,253.47,254.3,242.0,246.0
72.0,72.0,257.55,261.88,232.0,33.0
344.0,277.0,260.9,270.94,26.0,390.0
11.0,397.0,264.95,274.35,52.0,201.0
116.0,55.0,268.01,275.51,63.0,199.0
264.0,200.0,276.89,278.66,166.0,65.0
254.0,124.0,286.22,280.93,323.0,239.0
362.0,326.0,295.24,288.52,337.0,315.0
238.0,239.0,304.3,292.54,231.0,267.0
301.0,253.0,308.28,299.71,317.0,176.0
312.0,251.0,310.98,300.91,191.0,250.0
216.0,246.0,316.72,305.35,134.0,274.0
347.0,287.0,332.59,321.72,174.0,193.0
277.0,177.0,333.82,326.89,230.0,44.0
132.0,321.0,338.25,335.97,156.0,195.0
258.0,147.0,347.96,337.95,213.0,142.0
324.0,221.0,352.03,342.36,298.0,125.0
232.0,235.0,356.31,348.05,264.0,133.0
356.0,303.0,356.85,350.17,191.0,238.0
226.0,265.0,366.51,352.27,160.0,170.0
380.0,317.0,373.99,355.02,347.0,226.0
370.0,316.0,387.07,362.5,357.0,274.0
191.0,103.0,392.65,380.37,272.0,242.0
208.0,188.0,398.27,382.56,360.0,171.0
90.0,67.0,402.31,405.35,345.0,108.0
103.0,362.0,406.02,412.97,255.0,45.0
306.0,230.0,413.75,418.76,361.0,101.0
360.0,302.0,416.17,443.14,313.0,252.0
268.0,160.0,428.36,446.83,328.0,251.0
321.0,216.0,432.7,453.58,247.0,141.0
302.0,173.0,446.03,455.8,29.0,390.0
358.0,294.0,455.92,457.47,312.0,159.0
320.0,253.0,459.59,462.07,181.0,162.0
261.0,126.0,466.68,466.2,342.0,123.0
347.0,313.0,475.67,468.96,139.0,288.0
314.0,261.0,485.01,475.41,173.0,107.0
284.0,185.0,491.79,486.78,353.0,173.0
184.0,83.0,500.19,492.92,310.0,104.0
149.0,343.0,507.08,520.39,281.0,260.0
295.0,226.0,524.5,525.6,117.0,26.0
261.0,232.0,552.83,541.5,284.0,282.0
225.0,82.0,557.0,555.07,121.0,19.0
310.0,216.0,557.97,556.05,307.0,36.0
204.0,58.0,566.52,576.15,61.0,5.0
306.0,36.0,567.66,591.75,330.0,136.0
155.0,236.0,570.37,600.6,290.0,160.0
304.0,62.0,581.71,605.04,320.0,215.0
359.0,287.0,601.06,618.24,382.0,60.0
346.0,146.0,611.34,628.83,363.0,93.0
382.0,350.0,651.61,649.81,355.0,213.0
314.0,12.0,656.26,660.16,396.0,212.0
328.0,223.0,699.89,687.47,333.0,86.0
173.0,115.0,723.46,696.02,336.0,62.0
64.0,74.0,726.75,717.45,48.0,22.0
180.0,126.0,727.44,721.88,132.0,24.0
43.0,342.0,727.96,725.72,223.0,313.0
53.0,77.0,733.75,729.16,230.0,278.0
40.0,354.0,735.97,730.93,104.0,363.0
256.0,138.0,741.05,731.53,25.0,336.0
181.0,188.0,745.52,736.48,175.0,354.0
87.0,220.0,746.96,738.08,119.0,31.0
68.0,340.0,753.7,748.96,39.0,228.0
197.0,142.0,754.56,754.48,204.0,344.0
93.0,31.0,761.54,758.66,217.0,338.0
316.0,141.0,765.82,764.55,66.0,81.0
138.0,58.0,783.77,768.1,288.0,219.0
118.0,44.0,783.81,772.83,45.0,52.0
366.0,323.0,795.0,800.47,129.0,360.0
279.0,204.0,796.46,801.38,20.0,367.0
86.0,356.0,804.28,801.89,390.0,258.0
248.0,258.0,812.26,809.92,144.0,30.0
200.0,271.0,826.48,813.97,315.0,71.0
217.0,234.0,834.69,820.77,299.0,334.0
373.0,368.0,841.88,825.46,58.0,64.0
211.0,156.0,843.6,834.6,398.0,75.0
75.0,343.0,844.39,845.55,36.0,327.0
236.0,105.0,853.4,851.66,215.0,118.0
166.0,69.0,861.67,854.5,138.0,360.0
172.0,172.0,864.03,859.44,193.0,296.0
83.0,346.0,867.31,864.68,59.0,266.0
136.0,76.0,872.28,873.31,128.0,297.0
148.0,82.0,881.46,876.54,115.0,109.0
376.0,354.0,884.73,880.79,194.0,236.0
138.0,298.0,889.66,886.23,379.0,195.0
109.0,75.0,892.51,888.8,140.0,34.0
219.0,175.0,899.67,895.54,291.0,124.0
179.0,294.0,906.78,896.51,304.0,254.0
288.0,241.0,912.64,907.09,334.0,58.0
352.0,333.0,914.03,915.29,376.0,183.0
167.0,310.0,917.32,921.72,146.0,348.0
77.0,344.0,932.18,927.98,47.0,153.0
141.0,49.0,936.76,935.97,117.0,207.0
369.0,348.0,941.09,937.23,106.0,212.0
141.0,72.0,945.42,949.48,388.0,85.0
192.0,129.0,946.31,951.82,193.0,308.0
188.0,225.0,957.79,954.29,123.0,139.0
264.0,181.0,960.32,959.65,115.0,333.0
190.0,96.0,972.82,960.92,108.0,235.0
111.0,259.0,981.63,964.37,103.0,96.0
144.0,89.0,982.55,968.15,181.0,90.0
152.0,190.0,986.71,972.7,225.0,341.0
148.0,179.0,987.78,979.16,197.0,369.0
47.0,370.0,994.6,982.67,248.0,292.0
93.0,140.0,997.58,983.37,69.0,8.0
81.0,291.0,998.02,992.82,88.0,114.0
163.0,186.0,1001.64,993.2,142.0,268.0
191.0,173.0,1002.07,1001.96,126.0,358.0
262.0,159.0,1006.78,1002.58,245.0,151.0
177.0,66.0,1013.28,1007.04,35.0,229.0
146.0,199.0,1015.97,1012.52,220.0,296.0
130.0,36.0,1018.4,1015.62,150.0,23.0
310.0,110.0,1019.07,1021.6,185.0,340.0
161.0,53.0,1021.7,1023.42,189.0,324.0
304.0,152.0,1024.12,1024.83,45.0,146.0
50.0,380.0,1029.93,1031.7,171.0,158.0
274.0,241.0,1031.02,1032.3,162.0,129.0
247.0,158.0,1035.6,1033.66,189.0,352.0
208.0,105.0,1039.56,1038.93,164.0,339.0
157.0,79.0,1040.35,1040.96,317.0,149.0
218.0,276.0,1042.49,1041.6,156.0,127.0
235.0,150.0,1045.57,1044.47,335.0,135.0
61.0,336.0,1048.79,1048.24,25.0,287.0
101.0,24.0,1049.43,1049.54,352.0,280.0
377.0,340.0,1051.2,1049.92,343.0,303.0
134.0,304.0,1052.28,1052.27,113.0,51.0
372.0,338.0,1056.24,1054.53,38.0,289.0
170.0,70.0,1058.71,1067.52,328.0,105.0
101.0,319.0,1065.26,1070.35,227.0,96.0
328.0,119.0,1067.13,1070.81,290.0,99.0
285.0,159.0,1077.68,1073.48,270.0,231.0
348.0,301.0,1078.6,1078.27,111.0,126.0
281.0,214.0,1081.97,1079.4,214.0,293.0
176.0,197.0,1097.07,1093.24,68.0,204.0
89.0,318.0,1098.84,1097.25,108.0,351.0
113.0,194.0,1100.42,1101.38,71.0,97.0
202.0,134.0,1103.02,1108.96,209.0,191.0
276.0,137.0,1106.11,1111.27,205.0,164.0
154.0,248.0,1115.19,1116.59,119.0,67.0
375.0,356.0,1118.35,1117.53,381.0,325.0
365.0,306.0,1123.74,1122.76,366.0,205.0
214.0,91.0,1123.9,1132.34,305.0,223.0
285.0,102.0,1136.21,1142.68,204.0,88.0
281.0,108.0,1145.47,1152.32,150.0,270.0
91.0,30.0,1151.24,1152.56,74.0,227.0
69.0,336.0,1153.46,1170.92,76.0,149.0
