4WN,4CNTZ,4CNTR,9WN,9CNTZ,9CNTR
20.57,250.0,128.0,17.16,185.0,272.0
23.35,228.0,289.0,20.23,212.0,249.0
24.81,223.0,178.0,23.07,260.0,223.0
29.16,329.0,267.0,26.32,271.0,229.0
31.97,209.0,279.0,30.23,174.0,302.0
33.23,330.0,230.0,30.67,267.0,292.0
35.07,171.0,275.0,35.06,91.0,236.0
39.68,159.0,209.0,36.82,301.0,266.0
42.95,245.0,166.0,39.2,120.0,192.0
44.25,165.0,195.0,42.26,211.0,320.0
46.01,276.0,255.0,45.87,298.0,263.0
51.98,187.0,109.0,48.4,169.0,293.0
54.59,238.0,227.0,48.97,143.0,225.0
55.23,256.0,187.0,51.06,97.0,188.0
58.99,130.0,145.0,55.06,279.0,238.0
63.56,164.0,223.0,61.22,239.0,202.0
73.02,42.0,387.0,69.45,210.0,206.0
78.98,221.0,213.0,69.62,243.0,212.0
81.01,354.0,274.0,74.42,284.0,235.0
84.06,241.0,127.0,76.18,198.0,121.0
91.85,84.0,91.0,81.36,140.0,177.0
94.82,233.0,122.0,85.49,266.0,245.0
100.19,217.0,273.0,91.05,132.0,344.0
104.34,116.0,322.0,97.1,321.0,233.0
107.44,186.0,153.0,100.14,130.0,97.0
110.7,195.0,244.0,105.62,202.0,271.0
113.49,249.0,239.0,107.91,165.0,266.0
117.38,160.0,231.0,108.5,52.0,165.0
118.18,168.0,249.0,112.17,124.0,119.0
123.67,129.0,112.0,119.01,182.0,309.0
126.48,109.0,52.0,121.45,224.0,238.0
129.58,308.0,290.0,128.08,243.0,175.0
132.8,293.0,202.0,135.5,102.0,156.0
135.75,142.0,301.0,138.2,219.0,220.0
138.96,308.0,162.0,143.43,157.0,250.0
142.83,195.0,53.0,145.25,79.0,144.0
149.71,33.0,389.0,156.61,197.0,172.0
157.36,260.0,102.0,158.51,143.0,126.0
163.32,301.0,218.0,162.91,226.0,81.0
168.34,235.0,125.0,169.63,314.0,185.0
172.35,128.0,329.0,171.74,238.0,70.0
176.81,332.0,291.0,189.91,347.0,293.0
182.36,290.0,183.0,193.27,75.0,57.0
185.83,272.0,165.0,197.48,297.0,179.0
188.57,211.0,176.0,199.16,42.0,130.0
200.01,287.0,163.0,213.96,312.0,163.0
207.45,122.0,50.0,230.75,308.0,207.0
220.93,124.0,269.0,239.99,170.0,336.0
226.08,317.0,99.0,246.59,289.0,257.0
233.15,251.0,96.0,248.19,324.0,306.0
239.3,266.0,115.0,254.17,154.0,201.0
250.12,280.0,213.0,257.65,187.0,217.0
253.47,95.0,365.0,259.03,103.0,360.0
257.55,72.0,72.0,262.98,272.0,225.0
260.9,344.0,277.0,264.77,209.0,273.0
264.95,11.0,397.0,268.67,195.0,164.0
268.01,116.0,55.0,272.23,81.0,384.0
276.89,264.0,200.0,273.36,18.0,141.0
286.22,254.0,124.0,275.52,74.0,130.0
295.24,362.0,326.0,280.66,364.0,338.0
304.3,238.0,239.0,281.61,291.0,160.0
308.28,301.0,253.0,291.0,282.0,136.0
310.98,312.0,251.0,297.75,117.0,382.0
316.72,216.0,246.0,299.44,340.0,324.0
332.59,347.0,287.0,313.81,54.0,154.0
333.82,277.0,177.0,318.29,359.0,340.0
338.25,132.0,321.0,325.91,191.0,234.0
347.96,258.0,147.0,332.18,228.0,204.0
352.03,324.0,221.0,336.88,293.0,275.0
356.31,232.0,235.0,343.74,315.0,260.0
356.85,356.0,303.0,352.83,292.0,282.0
366.51,226.0,265.0,357.89,317.0,257.0
373.99,380.0,317.0,361.52,111.0,90.0
387.07,370.0,316.0,373.05,328.0,279.0
392.65,191.0,103.0,380.9,361.0,332.0
398.27,208.0,188.0,400.56,257.0,304.0
402.31,90.0,67.0,415.55,322.0,198.0
406.02,103.0,362.0,419.46,314.0,112.0
413.75,306.0,230.0,427.67,328.0,262.0
416.17,360.0,302.0,434.25,286.0,197.0
428.36,268.0,160.0,440.29,221.0,314.0
432.7,321.0,216.0,442.1,309.0,185.0
446.03,302.0,173.0,446.67,356.0,324.0
455.92,358.0,294.0,451.92,281.0,180.0
459.59,320.0,253.0,456.24,41.0,228.0
466.68,261.0,126.0,457.42,333.0,302.0
475.67,347.0,313.0,458.35,319.0,215.0
485.01,314.0,261.0,489.08,341.0,245.0
491.79,284.0,185.0,493.36,56.0,54.0
500.19,184.0,83.0,512.04,291.0,269.0
507.08,149.0,343.0,522.22,337.0,277.0
524.5,295.0,226.0,543.71,199.0,322.0
552.83,261.0,232.0,555.2,185.0,313.0
557.0,225.0,82.0,559.23,59.0,11.0
557.97,310.0,216.0,569.11,371.0,290.0
566.52,204.0,58.0,581.26,342.0,217.0
567.66,306.0,36.0,582.85,363.0,311.0
570.37,155.0,236.0,589.03,65.0,22.0
581.71,304.0,62.0,593.14,225.0,258.0
601.06,359.0,287.0,624.7,326.0,85.0
611.34,346.0,146.0,652.24,350.0,102.0
651.61,382.0,350.0,675.05,382.0,355.0
656.26,314.0,12.0,688.38,343.0,45.0
699.89,328.0,223.0,702.86,353.0,119.0
723.46,173.0,115.0,722.29,115.0,368.0
726.75,64.0,74.0,726.09,38.0,53.0
727.44,180.0,126.0,727.1,152.0,44.0
727.96,43.0,342.0,730.19,262.0,148.0
733.75,53.0,77.0,731.06,214.0,29.0
735.97,40.0,354.0,733.33,24.0,82.0
741.05,256.0,138.0,736.03,115.0,358.0
745.52,181.0,188.0,740.25,43.0,79.0
746.96,87.0,220.0,741.86,295.0,101.0
753.7,68.0,340.0,743.39,168.0,40.0
754.56,197.0,142.0,748.95,156.0,338.0
761.54,93.0,31.0,760.7,175.0,161.0
765.82,316.0,141.0,761.66,74.0,114.0
783.77,138.0,58.0,767.75,89.0,67.0
783.81,118.0,44.0,773.71,236.0,260.0
795.0,366.0,323.0,798.13,350.0,335.0
796.46,279.0,204.0,798.44,121.0,111.0
804.28,86.0,356.0,803.68,93.0,174.0
812.26,248.0,258.0,804.17,138.0,301.0
826.48,200.0,271.0,809.98,182.0,320.0
834.69,217.0,234.0,822.89,192.0,288.0
841.88,373.0,368.0,825.77,157.0,71.0
843.6,211.0,156.0,832.85,223.0,289.0
844.39,75.0,343.0,838.9,355.0,342.0
853.4,236.0,105.0,840.26,24.0,106.0
861.67,166.0,69.0,842.39,57.0,48.0
864.03,172.0,172.0,854.87,279.0,134.0
867.31,83.0,346.0,859.56,219.0,316.0
872.28,136.0,76.0,862.15,180.0,327.0
881.46,148.0,82.0,865.68,37.0,99.0
884.73,376.0,354.0,874.73,303.0,226.0
889.66,138.0,298.0,894.07,374.0,356.0
892.51,109.0,75.0,897.37,248.0,156.0
899.67,219.0,175.0,898.31,148.0,49.0
906.78,179.0,294.0,904.63,287.0,232.0
912.64,288.0,241.0,918.59,51.0,82.0
914.03,352.0,333.0,919.36,354.0,341.0
917.32,167.0,310.0,920.86,264.0,312.0
932.18,77.0,344.0,923.04,245.0,253.0
936.76,141.0,49.0,932.37,248.0,256.0
941.09,369.0,348.0,941.22,60.0,213.0
945.42,141.0,72.0,942.17,113.0,299.0
946.31,192.0,129.0,942.7,340.0,335.0
957.79,188.0,225.0,945.98,53.0,68.0
960.32,264.0,181.0,957.47,10.0,150.0
972.82,190.0,96.0,965.7,146.0,56.0
981.63,111.0,259.0,975.64,267.0,210.0
982.55,144.0,89.0,978.95,207.0,152.0
986.71,152.0,190.0,979.6,141.0,83.0
987.78,148.0,179.0,983.55,86.0,51.0
994.6,47.0,370.0,986.37,128.0,71.0
997.58,93.0,140.0,986.49,181.0,297.0
998.02,81.0,291.0,990.98,205.0,306.0
1001.64,163.0,186.0,996.87,152.0,105.0
1002.07,191.0,173.0,999.83,200.0,252.0
1006.78,262.0,159.0,1003.06,277.0,116.0
1013.28,177.0,66.0,1004.18,162.0,326.0
1015.97,146.0,199.0,1006.46,34.0,78.0
1018.4,130.0,36.0,1020.06,307.0,162.0
1019.07,310.0,110.0,1021.88,183.0,188.0
1021.7,161.0,53.0,1022.24,145.0,326.0
1024.12,304.0,152.0,1026.51,67.0,54.0
1029.93,50.0,380.0,1028.76,317.0,210.0
1031.02,274.0,241.0,1030.02,311.0,207.0
1035.6,247.0,158.0,1031.07,46.0,55.0
1039.56,208.0,105.0,1033.84,111.0,39.0
