5WN,5CNTZ
24.82,225.0
26.8,265.0
33.26,165.0
35.73,200.0
41.34,95.0
41.96,283.0
45.99,237.0
47.52,207.0
48.89,185.0
52.51,123.0
54.31,208.0
57.79,130.0
61.05,211.0
61.58,249.0
65.5,250.0
67.77,155.0
71.98,258.0
79.25,269.0
82.23,219.0
84.4,84.0
87.62,94.0
91.03,259.0
92.21,152.0
93.78,112.0
101.33,237.0
108.69,59.0
109.85,243.0
112.17,251.0
118.3,159.0
121.84,242.0
123.78,169.0
130.9,322.0
134.43,147.0
138.35,37.0
149.12,240.0
156.04,238.0
157.95,295.0
167.15,302.0
169.66,199.0
169.81,275.0
179.66,94.0
184.26,309.0
189.48,269.0
193.14,18.0
199.41,202.0
208.28,73.0
214.72,334.0
227.64,280.0
230.04,245.0
237.0,235.0
246.95,294.0
253.2,266.0
254.3,242.0
261.88,232.0
270.94,26.0
274.35,52.0
275.51,63.0
278.66,166.0
280.93,323.0
288.52,337.0
292.54,231.0
299.71,317.0
300.91,191.0
305.35,134.0
321.72,174.0
326.89,230.0
335.97,156.0
337.95,213.0
342.36,298.0
348.05,264.0
350.17,191.0
352.27,160.0
355.02,347.0
362.5,357.0
380.37,272.0
382.56,360.0
405.35,345.0
412.97,255.0
418.76,361.0
443.14,313.0
446.83,328.0
453.58,247.0
455.8,29.0
457.47,312.0
462.07,181.0
466.2,342.0
468.96,139.0
475.41,173.0
486.78,353.0
492.92,310.0
520.39,281.0
525.6,117.0
541.5,284.0
555.07,121.0
556.05,307.0
576.15,61.0
591.75,330.0
600.6,290.0
605.04,320.0
618.24,382.0
628.83,363.0
649.81,355.0
660.16,396.0
687.47,333.0
696.02,336.0
717.45,48.0
721.88,132.0
725.72,223.0
729.16,230.0
730.93,104.0
731.53,25.0
736.48,175.0
738.08,119.0
748.96,39.0
754.48,204.0
758.66,217.0
764.55,66.0
768.1,288.0
772.83,45.0
800.47,129.0
801.38,20.0
801.89,390.0
809.92,144.0
813.97,315.0
820.77,299.0
825.46,58.0
834.6,398.0
845.55,36.0
851.66,215.0
854.5,138.0
859.44,193.0
864.68,59.0
873.31,128.0
876.54,115.0
880.79,194.0
886.23,379.0
888.8,140.0
895.54,291.0
896.51,304.0
907.09,334.0
915.29,376.0
921.72,146.0
927.98,47.0
935.97,117.0
937.23,106.0
949.48,388.0
951.82,193.0
954.29,123.0
959.65,115.0
960.92,108.0
964.37,103.0
968.15,181.0
972.7,225.0
979.16,197.0
982.67,248.0
983.37,69.0
992.82,88.0
993.2,142.0
1001.96,126.0
1002.58,245.0
1007.04,35.0
1012.52,220.0
1015.62,150.0
1021.6,185.0
1023.42,189.0
1024.83,45.0
1031.7,171.0
1032.3,162.0
1033.66,189.0
1038.93,164.0
1040.96,317.0
1041.6,156.0
1044.47,335.0
1048.24,25.0
1049.54,352.0
1049.92,343.0
1052.27,113.0
1054.53,38.0
1067.52,328.0
1070.35,227.0
1070.81,290.0
1073.48,270.0
1078.27,111.0
1079.4,214.0
1093.24,68.0
1097.25,108.0
1101.38,71.0
1108.96,209.0
1111.27,205.0
1116.59,119.0
1117.53,381.0
1122.76,366.0
1132.34,305.0
1142.68,204.0
1152.32,150.0
1152.56,74.0
1170.92,76.0
1173.8,112.0
1174.07,98.0
1178.98,253.0
1192.56,342.0
1194.24,235.0
1196.71,74.0
1205.92,392.0
1212.25,261.0
1219.82,77.0
1220.31,85.0
1230.17,178.0
1233.62,338.0
1237.09,198.0
1237.27,90.0
1238.29,227.0
1239.22,263.0
1241.33,330.0
1245.36,274.0
1246.14,319.0
1251.25,159.0
1253.11,256.0
1255.34,345.0
1256.33,167.0
1259.99,63.0
1261.53,93.0
1262.32,61.0
1269.07,273.0
1271.72,82.0
1272.92,142.0
1273.48,76.0
1277.9,248.0
1279.92,332.0
1281.37,31.0
1282.04,109.0
1282.67,203.0
1287.78,254.0
1289.64,16.0
1290.76,121.0
1294.84,365.0
1295.04,136.0
1299.31,102.0
1303.44,65.0
1305.13,282.0
1307.12,144.0
1307.82,69.0
1311.05,195.0
1313.19,148.0
1314.07,301.0
1320.13,319.0
1328.56,315.0
1329.33,5.0
1334.3,277.0
1335.12,14.0
1335.4,325.0
1339.58,99.0
1343.53,135.0
1346.61,358.0
1350.33,371.0
1353.89,22.0
1355.14,264.0
1357.18,100.0
1357.95,212.0
1358.75,53.0
1358.87,71.0
1362.41,206.0
1362.98,106.0
1365.36,3.0
1366.87,361.0
1371.74,370.0
1375.26,340.0
1379.66,393.0
1384.23,279.0
1386.74,51.0
1391.27,386.0
1392.05,354.0
1396.83,307.0
1404.24,397.0
1410.92,56.0
1411.46,378.0
1415.31,10.0
1415.45,172.0
1415.82,41.0
1418.27,177.0
1419.0,153.0
1419.72,140.0
1420.02,50.0
1420.27,363.0
1420.65,67.0
1420.91,161.0
1422.14,42.0
1422.33,170.0
1423.71,383.0
1425.09,240.0
1425.51,370.0
1426.16,172.0
1426.77,326.0
1427.79,126.0
1430.73,56.0
1431.78,356.0
1433.16,16.0
1433.74,211.0
1434.33,54.0
1434.91,88.0
1435.86,199.0
1437.87,146.0
1438.61,376.0
1439.5,90.0
1440.73,4.0
1441.9,292.0
1442.65,6.0
1443.28,273.0
1444.27,96.0
1445.99,368.0
1449.47,325.0
1450.02,83.0
1455.83,373.0
1473.32,373.0
1650.25,304.0
1661.32,47.0
1733.02,346.0
1757.87,368.0
2869.33,402.0
2893.77,79.0
2898.9,0.0
2899.03,92.0
2901.75,8.0
2903.52,102.0
2904.84,98.0
2904.92,187.0
2905.43,299.0
2908.72,400.0
2909.81,136.0
2910.04,183.0
2910.13,21.0
2911.06,11.0
2911.3,132.0
2914.1,34.0
2914.63,80.0
2916.11,287.0
2916.95,183.0
2917.29,228.0
2919.01,314.0
2919.12,285.0
2919.39,216.0
2919.5,36.0
2921.17,177.0
2922.99,276.0
2924.06,222.0
2925.05,24.0
2925.16,22.0
2929.71,87.0
2931.71,32.0
2933.46,13.0
2935.39,380.0
2935.66,350.0
2936.68,80.0
2938.0,3.0
2939.53,352.0
2941.46,157.0
2941.76,165.0
2943.56,309.0
2947.06,10.0
2949.34,18.0
2949.59,268.0
2951.44,262.0
2952.12,221.0
2953.1,153.0
2954.88,124.0
2956.53,391.0
2958.97,130.0
2962.16,295.0
2962.73,349.0
2964.16,187.0
2965.42,321.0
2966.79,14.0
