4WN,4CNTZ
20.57,250.0
23.35,228.0
24.81,223.0
29.16,329.0
31.97,209.0
33.23,330.0
35.07,171.0
39.68,159.0
42.95,245.0
44.25,165.0
46.01,276.0
51.98,187.0
54.59,238.0
55.23,256.0
58.99,130.0
63.56,164.0
73.02,42.0
78.98,221.0
81.01,354.0
84.06,241.0
91.85,84.0
94.82,233.0
100.19,217.0
104.34,116.0
107.44,186.0
110.7,195.0
113.49,249.0
117.38,160.0
118.18,168.0
123.67,129.0
126.48,109.0
129.58,308.0
132.8,293.0
135.75,142.0
138.96,308.0
142.83,195.0
149.71,33.0
157.36,260.0
163.32,301.0
168.34,235.0
172.35,128.0
176.81,332.0
182.36,290.0
185.83,272.0
188.57,211.0
200.01,287.0
207.45,122.0
220.93,124.0
226.08,317.0
233.15,251.0
239.3,266.0
250.12,280.0
253.47,95.0
257.55,72.0
260.9,344.0
264.95,11.0
268.01,116.0
276.89,264.0
286.22,254.0
295.24,362.0
304.3,238.0
308.28,301.0
310.98,312.0
316.72,216.0
332.59,347.0
333.82,277.0
338.25,132.0
347.96,258.0
352.03,324.0
356.31,232.0
356.85,356.0
366.51,226.0
373.99,380.0
387.07,370.0
392.65,191.0
398.27,208.0
402.31,90.0
406.02,103.0
413.75,306.0
416.17,360.0
428.36,268.0
432.7,321.0
446.03,302.0
455.92,358.0
459.59,320.0
466.68,261.0
475.67,347.0
485.01,314.0
491.79,284.0
500.19,184.0
507.08,149.0
524.5,295.0
552.83,261.0
557.0,225.0
557.97,310.0
566.52,204.0
567.66,306.0
570.37,155.0
581.71,304.0
601.06,359.0
611.34,346.0
651.61,382.0
656.26,314.0
699.89,328.0
723.46,173.0
726.75,64.0
727.44,180.0
727.96,43.0
733.75,53.0
735.97,40.0
741.05,256.0
745.52,181.0
746.96,87.0
753.7,68.0
754.56,197.0
761.54,93.0
765.82,316.0
783.77,138.0
783.81,118.0
795.0,366.0
796.46,279.0
804.28,86.0
812.26,248.0
826.48,200.0
834.69,217.0
841.88,373.0
843.6,211.0
844.39,75.0
853.4,236.0
861.67,166.0
864.03,172.0
867.31,83.0
872.28,136.0
881.46,148.0
884.73,376.0
889.66,138.0
892.51,109.0
899.67,219.0
906.78,179.0
912.64,288.0
914.03,352.0
917.32,167.0
932.18,77.0
936.76,141.0
941.09,369.0
945.42,141.0
946.31,192.0
957.79,188.0
960.32,264.0
972.82,190.0
981.63,111.0
982.55,144.0
986.71,152.0
987.78,148.0
994.6,47.0
997.58,93.0
998.02,81.0
1001.64,163.0
1002.07,191.0
1006.78,262.0
1013.28,177.0
1015.97,146.0
1018.4,130.0
1019.07,310.0
1021.7,161.0
1024.12,304.0
1029.93,50.0
1031.02,274.0
1035.6,247.0
1039.56,208.0
1040.35,157.0
1042.49,218.0
1045.57,235.0
1048.79,61.0
1049.43,101.0
1051.2,377.0
1052.28,134.0
1056.24,372.0
1058.71,170.0
1065.26,101.0
1067.13,328.0
1077.68,285.0
1078.6,348.0
1081.97,281.0
1097.07,176.0
1098.84,89.0
1100.42,113.0
1103.02,202.0
1106.11,276.0
1115.19,154.0
1118.35,375.0
1123.74,365.0
1123.9,214.0
1136.21,285.0
1145.47,281.0
1151.24,91.0
1153.46,69.0
1174.41,111.0
1189.73,178.0
1190.99,97.0
1193.8,370.0
1194.89,103.0
1196.41,146.0
1205.84,318.0
1206.84,358.0
1214.72,356.0
1220.29,198.0
1221.05,167.0
1224.07,145.0
1225.67,78.0
1228.6,334.0
1232.88,105.0
1234.37,53.0
1237.09,387.0
1241.15,225.0
1247.87,227.0
1248.9,375.0
1250.96,104.0
1254.33,133.0
1256.22,63.0
1258.42,134.0
1262.89,323.0
1264.12,255.0
1265.35,258.0
1268.1,240.0
1270.43,52.0
1271.77,60.0
1282.79,47.0
1283.25,41.0
1285.08,184.0
1285.93,100.0
1286.57,79.0
1286.93,74.0
1286.96,229.0
1289.32,65.0
1289.36,362.0
1289.54,206.0
1293.61,213.0
1297.35,97.0
1298.13,157.0
1303.99,207.0
1305.76,35.0
1307.68,293.0
1315.95,113.0
1317.19,319.0
1317.96,140.0
1327.23,269.0
1329.2,29.0
1334.79,154.0
1338.06,122.0
1339.33,334.0
1340.09,350.0
1346.35,20.0
1347.15,336.0
1351.86,22.0
1354.24,38.0
1355.04,244.0
1357.16,43.0
1357.37,10.0
1358.38,252.0
1362.66,33.0
1362.83,215.0
1363.71,9.0
1365.42,368.0
1366.99,326.0
1368.43,323.0
1379.83,350.0
1382.01,391.0
1387.83,119.0
1389.46,193.0
1394.16,397.0
1396.65,298.0
1407.79,332.0
1409.87,386.0
1411.22,336.0
1413.78,76.0
1414.29,160.0
1414.67,66.0
1416.9,107.0
1417.19,378.0
1417.71,151.0
1418.28,16.0
1418.76,58.0
1419.74,153.0
1420.35,90.0
1421.46,46.0
1421.91,389.0
1422.19,77.0
1423.33,200.0
1424.34,174.0
1424.79,297.0
1425.67,188.0
1425.84,12.0
1428.66,393.0
1429.32,1.0
1429.6,7.0
1432.44,175.0
1433.93,391.0
1434.15,67.0
1434.38,32.0
1436.54,107.0
1437.09,17.0
1437.46,290.0
1441.38,355.0
1444.5,38.0
1445.91,61.0
1446.46,57.0
1447.01,381.0
1447.04,84.0
1447.78,87.0
1449.07,385.0
1449.51,295.0
1455.99,395.0
1474.45,396.0
1662.73,114.0
1664.24,182.0
1743.09,342.0
1762.16,316.0
2857.11,363.0
2894.61,351.0
2898.35,6.0
2899.76,36.0
2900.11,14.0
2900.35,224.0
2902.98,272.0
2903.17,25.0
2903.9,28.0
2905.02,45.0
2905.98,244.0
2906.37,266.0
2906.92,18.0
2908.06,366.0
2908.53,19.0
2911.52,240.0
2912.62,29.0
2912.86,136.0
2912.93,50.0
2913.15,66.0
2914.25,202.0
2915.87,287.0
2916.72,54.0
2921.95,3.0
2923.4,178.0
2924.53,30.0
2925.67,71.0
2926.69,72.0
2926.73,374.0
2928.06,26.0
2928.62,274.0
2929.59,327.0
2930.62,125.0
2934.16,22.0
2936.46,20.0
2938.17,292.0
2938.43,13.0
2938.74,242.0
2940.45,49.0
2941.28,27.0
2941.65,382.0
2943.17,57.0
2943.28,298.0
2945.93,343.0
2946.94,270.0
2948.35,9.0
2949.93,344.0
2950.33,340.0
2951.43,221.0
2957.51,203.0
2961.1,55.0
2963.43,36.0
2963.82,398.0
2965.02,24.0
2967.04,249.0
2969.48,121.0
2970.5,230.0
2970.73,283.0
2971.7,383.0
2973.7,99.0
2974.53,120.0
2981.27,268.0
2982.72,82.0
2983.44,124.0
2991.67,4.0
2993.41,311.0
2994.42,5.0
2998.0,339.0
2999.52,1.0
3001.24,5.0
3001.94,300.0
3007.35,341.0
3012.7,337.0
3018.46,196.0
3022.76,96.0
3034.25,396.0
3041.31,389.0
3044.4,392.0
3045.74,232.0
3047.84,127.0
3058.83,401.0
3064.25,400.0
3065.97,401.0
3084.76,386.0
