2WN,2CNTZ,2CNTR,7WN,7CNTZ,7CNTR
15.15,205.0,252.0,20.11,281.0,289.0
19.15,250.0,298.0,22.84,321.0,328.0
23.94,125.0,338.0,29.17,93.0,132.0
24.62,235.0,265.0,30.79,157.0,210.0
29.68,291.0,168.0,33.88,166.0,265.0
31.83,313.0,151.0,35.3,215.0,285.0
34.43,278.0,245.0,37.88,286.0,264.0
34.78,321.0,128.0,40.22,296.0,268.0
37.74,288.0,161.0,44.19,191.0,206.0
40.11,218.0,211.0,48.6,223.0,216.0
44.24,298.0,103.0,50.18,234.0,198.0
46.29,293.0,130.0,51.58,260.0,289.0
53.41,202.0,192.0,55.33,186.0,180.0
55.67,191.0,312.0,58.04,177.0,253.0
58.77,249.0,257.0,63.05,135.0,249.0
60.37,263.0,152.0,63.92,186.0,201.0
62.55,236.0,191.0,68.18,291.0,267.0
70.2,338.0,88.0,72.95,310.0,300.0
75.24,169.0,373.0,78.54,281.0,245.0
77.11,214.0,264.0,82.57,86.0,326.0
79.43,201.0,198.0,87.11,272.0,217.0
86.88,275.0,173.0,90.76,130.0,249.0
93.67,211.0,189.0,92.87,163.0,253.0
99.43,305.0,98.0,94.67,183.0,129.0
108.54,146.0,363.0,97.03,209.0,130.0
109.77,165.0,285.0,100.51,165.0,104.0
115.58,239.0,109.0,103.28,170.0,136.0
121.02,206.0,318.0,109.47,314.0,259.0
122.71,272.0,165.0,115.84,301.0,240.0
124.05,256.0,167.0,122.28,174.0,178.0
128.31,245.0,212.0,124.43,104.0,100.0
133.16,352.0,65.0,128.07,198.0,278.0
138.01,265.0,211.0,135.58,217.0,262.0
140.66,139.0,340.0,140.04,106.0,301.0
149.95,137.0,382.0,141.84,136.0,150.0
153.06,73.0,266.0,147.47,156.0,72.0
158.4,151.0,230.0,153.85,259.0,167.0
164.89,343.0,96.0,160.08,99.0,292.0
167.51,312.0,120.0,161.73,158.0,142.0
170.15,316.0,99.0,167.2,195.0,92.0
174.04,260.0,161.0,171.32,285.0,167.0
180.11,253.0,130.0,181.0,255.0,242.0
191.6,295.0,134.0,188.24,336.0,303.0
208.3,322.0,67.0,195.79,314.0,195.0
212.96,329.0,69.0,201.66,266.0,147.0
216.7,94.0,366.0,207.77,90.0,74.0
220.34,150.0,344.0,213.75,319.0,322.0
225.27,286.0,93.0,216.72,286.0,306.0
227.25,212.0,233.0,230.62,262.0,177.0
230.45,216.0,208.0,234.92,249.0,151.0
242.36,277.0,105.0,244.33,295.0,290.0
256.46,201.0,242.0,245.38,295.0,268.0
260.83,103.0,399.0,247.05,124.0,292.0
261.78,297.0,150.0,248.31,94.0,149.0
262.06,301.0,158.0,257.56,289.0,282.0
273.84,123.0,220.0,260.52,178.0,325.0
279.92,242.0,157.0,267.81,27.0,334.0
287.21,176.0,186.0,273.79,352.0,349.0
291.84,193.0,237.0,274.33,139.0,152.0
299.77,365.0,86.0,275.69,82.0,77.0
301.62,160.0,362.0,284.43,244.0,244.0
308.78,357.0,75.0,295.34,348.0,345.0
309.54,237.0,136.0,296.94,170.0,144.0
316.22,289.0,114.0,304.28,282.0,251.0
325.24,346.0,90.0,307.58,181.0,118.0
329.87,185.0,234.0,309.81,178.0,88.0
331.71,155.0,189.0,317.45,370.0,382.0
347.54,224.0,312.0,327.18,361.0,355.0
352.84,310.0,99.0,337.28,363.0,357.0
355.21,348.0,64.0,343.36,207.0,202.0
361.2,350.0,67.0,350.16,263.0,223.0
363.07,191.0,197.0,361.24,334.0,317.0
369.73,192.0,323.0,380.17,365.0,367.0
375.95,380.0,20.0,391.28,229.0,300.0
385.43,338.0,68.0,400.26,325.0,286.0
387.71,334.0,77.0,405.32,130.0,59.0
406.25,324.0,95.0,409.14,113.0,46.0
415.53,329.0,112.0,422.27,310.0,221.0
418.6,259.0,227.0,425.09,202.0,314.0
421.51,262.0,230.0,427.29,265.0,320.0
433.68,302.0,160.0,430.22,342.0,347.0
438.09,300.0,175.0,441.39,225.0,97.0
447.65,331.0,87.0,443.66,320.0,272.0
455.17,327.0,79.0,446.26,359.0,349.0
462.63,333.0,77.0,453.84,337.0,328.0
470.33,293.0,133.0,463.08,311.0,280.0
475.9,360.0,66.0,474.5,227.0,115.0
490.23,278.0,102.0,480.37,328.0,297.0
496.92,351.0,42.0,484.24,328.0,280.0
