,0,1,2,3,4,5
0,0.0,0.0,0.0,0.0,0.0,0.0
1,121.0,365.0,1290.76,124.0,369.0,1290.67
2,47.0,2.0,1661.32,50.0,6.0,1662.48
3,265.0,232.0,26.8,271.0,229.0,26.32
4,88.0,111.0,1434.91,94.0,108.0,1432.95
5,164.0,339.0,1038.93,163.0,332.0,1040.88
6,54.0,140.0,1434.33,48.0,145.0,1432.66
7,398.0,386.0,3065.57,397.0,390.0,3072.91
8,211.0,208.0,61.05,210.0,206.0,69.45
9,250.0,217.0,65.5,243.0,212.0,69.62
10,195.0,322.0,1311.05,193.0,321.0,1301.14
11,203.0,30.0,1282.67,203.0,37.0,1290.26
12,391.0,387.0,3061.53,382.0,392.0,3064.44
13,325.0,165.0,1335.4,332.0,158.0,1331.1
14,21.0,68.0,2910.13,15.0,65.0,2900.72
15,367.0,356.0,3044.12,378.0,359.0,3042.0
16,386.0,371.0,1391.27,392.0,382.0,1391.67
17,51.0,5.0,1386.74,58.0,15.0,1383.69
18,92.0,382.0,2899.03,85.0,393.0,2900.3
19,104.0,363.0,730.93,115.0,358.0,736.03
20,69.0,39.0,1307.82,63.0,27.0,1306.65
21,227.0,96.0,1070.35,215.0,103.0,1069.41
22,102.0,366.0,2903.52,95.0,363.0,2915.18
23,206.0,61.0,1362.41,207.0,73.0,1355.17
24,337.0,315.0,288.52,340.0,324.0,299.44
25,292.0,53.0,1441.9,300.0,46.0,1431.93
26,288.0,77.0,2994.93,295.0,66.0,2988.37
27,53.0,240.0,1358.75,64.0,250.0,1359.64
28,228.0,70.0,2917.29,217.0,60.0,2915.64
29,237.0,204.0,45.99,239.0,202.0,61.22
30,281.0,260.0,520.39,291.0,269.0,512.04
31,135.0,260.0,1343.53,137.0,265.0,1359.19
32,24.0,393.0,2925.05,40.0,399.0,2921.43
33,90.0,85.0,1439.5,91.0,93.0,1423.71
34,82.0,6.0,2988.86,84.0,10.0,2971.58
35,61.0,5.0,576.15,59.0,11.0,559.23
36,330.0,266.0,1241.33,332.0,279.0,1253.87
