7CNTZ,7CNTR,7WN,10WN,10CNTZ,10CNTR
281.0,289.0,20.11,20.85,254.0,218.0
321.0,328.0,22.84,24.14,260.0,161.0
93.0,132.0,29.17,28.36,166.0,236.0
157.0,210.0,30.79,30.75,219.0,192.0
166.0,265.0,33.88,31.84,208.0,224.0
215.0,285.0,35.3,34.15,205.0,226.0
286.0,264.0,37.88,37.08,258.0,154.0
296.0,268.0,40.22,40.38,227.0,236.0
191.0,206.0,44.19,42.78,95.0,279.0
223.0,216.0,48.6,42.84,126.0,247.0
234.0,198.0,50.18,46.62,319.0,102.0
260.0,289.0,51.58,49.9,247.0,194.0
186.0,180.0,55.33,55.14,354.0,56.0
177.0,253.0,58.04,56.53,132.0,192.0
135.0,249.0,63.05,57.89,147.0,250.0
186.0,201.0,63.92,62.48,264.0,197.0
291.0,267.0,68.18,69.66,289.0,149.0
310.0,300.0,72.95,74.11,144.0,202.0
281.0,245.0,78.54,76.63,328.0,118.0
86.0,326.0,82.57,80.87,185.0,203.0
272.0,217.0,87.11,83.71,192.0,245.0
130.0,249.0,90.76,84.72,267.0,142.0
163.0,253.0,92.87,85.85,119.0,231.0
183.0,129.0,94.67,97.05,160.0,383.0
209.0,130.0,97.03,103.08,167.0,340.0
165.0,104.0,100.51,104.63,96.0,336.0
170.0,136.0,103.28,108.47,269.0,113.0
314.0,259.0,109.47,116.12,276.0,168.0
301.0,240.0,115.84,119.68,275.0,176.0
174.0,178.0,122.28,123.31,144.0,269.0
104.0,100.0,124.43,130.85,271.0,250.0
198.0,278.0,128.07,132.36,217.0,121.0
217.0,262.0,135.58,137.76,257.0,130.0
106.0,301.0,140.04,139.57,139.0,220.0
136.0,150.0,141.84,145.73,280.0,114.0
156.0,72.0,147.47,156.82,242.0,98.0
259.0,167.0,153.85,163.76,188.0,241.0
99.0,292.0,160.08,165.21,183.0,160.0
158.0,142.0,161.73,170.2,307.0,84.0
195.0,92.0,167.2,177.98,72.0,280.0
285.0,167.0,171.32,183.9,288.0,102.0
255.0,242.0,181.0,186.88,330.0,67.0
336.0,303.0,188.24,194.45,309.0,100.0
