,0
0,7.25
1,10.39
2,11.2
3,13.22
4,17.55
5,19.97
6,21.85
7,26.12
8,28.91
9,29.71
10,34.32
11,39.87
12,40.35
13,41.89
14,43.53
15,46.6
16,50.69
17,52.4
18,55.22
19,61.94
20,63.93
21,66.41
22,67.45
23,71.79
24,75.97
25,84.69
26,86.03
27,87.35
28,88.94
29,94.97
30,97.12
31,99.86
32,106.12
33,115.89
34,117.3
35,118.58
36,122.32
37,127.88
38,133.52
39,139.8
40,141.41
41,159.33
42,161.67
43,166.26
44,171.48
45,177.13
46,180.99
47,187.27
48,189.46
49,198.93
50,210.9
51,214.8
52,224.01
53,227.07
54,236.86
55,246.19
56,248.86
57,253.55
58,257.69
59,259.82
60,262.64
61,267.94
62,270.21
63,275.96
64,277.54
65,280.49
66,282.96
67,287.64
68,298.09
69,304.07
70,308.09
71,323.98
72,329.32
73,339.5
74,343.55
75,347.3
76,348.97
77,360.04
78,366.56
79,375.17
80,380.19
81,388.77
82,394.48
83,403.77
84,424.15
85,428.18
86,429.26
87,443.85
88,445.03
89,453.02
90,454.79
91,461.83
92,469.05
93,492.76
94,502.98
95,511.71
96,518.25
97,520.11
98,533.12
99,551.76
100,563.72
101,565.0
102,573.44
103,579.75
104,582.75
105,593.94
106,610.24
107,673.02
108,690.66
109,701.73
110,713.4
111,714.0
112,724.94
113,726.19
114,728.08
115,733.51
116,735.59
117,740.45
118,742.69
119,749.12
120,750.67
121,755.26
122,774.46
123,775.78
124,786.64
125,796.46
126,797.5
127,804.74
128,805.42
129,815.34
130,819.96
131,824.43
132,831.44
133,837.36
134,856.62
135,857.22
136,868.28
137,869.69
138,871.0
139,875.24
140,886.37
141,892.06
142,892.95
143,899.83
144,900.66
145,910.24
146,916.44
147,921.74
148,928.69
149,932.67
150,935.36
151,938.94
152,939.99
153,950.27
154,950.84
155,969.71
156,971.02
157,975.49
158,978.76
159,979.95
160,988.41
161,988.99
162,993.15
163,993.68
164,995.8
165,1009.09
166,1015.54
167,1016.7
168,1017.72
169,1019.55
170,1026.07
171,1028.1
172,1030.78
173,1032.47
174,1032.79
175,1037.94
176,1039.59
177,1040.43
178,1049.81
179,1051.58
180,1054.88
181,1055.69
182,1057.43
183,1061.73
184,1062.69
185,1065.92
186,1068.72
187,1070.44
188,1080.13
189,1081.11
190,1093.26
191,1097.1
192,1099.8
193,1102.47
194,1108.11
195,1108.97
196,1116.54
197,1121.04
198,1122.06
199,1131.74
200,1151.09
201,1155.53
202,1161.56
203,1175.55
204,1175.94
205,1179.71
206,1189.67
207,1190.26
208,1194.88
209,1197.01
210,1205.09
211,1206.33
212,1218.07
213,1224.9
214,1228.24
215,1232.18
216,1235.03
217,1240.34
218,1242.1
219,1242.29
220,1243.39
221,1249.86
222,1252.56
223,1253.87
224,1253.95
225,1257.4
226,1259.99
227,1261.68
228,1266.51
229,1269.63
230,1274.53
231,1275.3
232,1277.28
233,1277.85
234,1279.23
235,1284.36
236,1285.2
237,1286.5
238,1287.51
239,1288.81
240,1289.33
241,1290.15
242,1293.32
243,1297.02
244,1297.63
245,1300.37
246,1301.74
247,1307.46
248,1309.47
249,1312.27
250,1313.35
251,1318.14
252,1330.66
253,1333.09
254,1334.24
255,1336.5
256,1337.8
257,1339.27
258,1347.64
259,1349.25
260,1350.46
261,1352.65
262,1354.28
263,1354.37
264,1356.78
265,1358.18
266,1359.46
267,1360.19
268,1363.13
269,1363.32
270,1363.49
271,1368.32
272,1378.37
273,1384.59
274,1385.06
275,1390.93
276,1391.74
277,1393.07
278,1396.72
279,1409.35
280,1409.84
281,1411.49
282,1414.82
283,1415.51
284,1416.04
285,1416.11
286,1417.52
287,1418.5
288,1419.92
289,1420.08
290,1420.46
291,1420.97
292,1422.03
293,1422.93
294,1424.27
295,1425.3
296,1426.47
297,1426.68
298,1427.65
299,1428.41
300,1428.81
301,1429.35
302,1429.51
303,1430.34
304,1431.15
305,1431.71
306,1432.09
307,1432.22
308,1434.46
309,1434.76
310,1435.05
311,1439.22
312,1442.23
313,1444.08
314,1444.62
315,1445.78
316,1446.58
317,1447.89
318,1455.66
319,1471.79
320,1660.04
321,1663.64
322,1741.78
323,1756.02
324,2900.65
325,2901.32
326,2901.54
327,2901.98
328,2902.63
329,2903.3
330,2904.6
331,2904.72
332,2905.47
333,2906.64
334,2907.56
335,2910.12
336,2910.29
337,2911.46
338,2911.64
339,2912.2
340,2913.74
341,2914.03
342,2915.05
343,2916.41
344,2916.91
345,2919.37
346,2919.49
347,2922.01
348,2922.96
349,2928.61
350,2929.41
351,2929.82
352,2930.97
353,2932.42
354,2934.07
355,2934.15
356,2935.1
357,2935.52
358,2938.53
359,2939.73
360,2940.18
361,2940.51
362,2940.79
363,2942.86
364,2944.94
365,2947.17
366,2950.76
367,2953.09
368,2954.0
369,2957.16
370,2959.02
371,2959.75
372,2961.11
373,2962.92
374,2964.13
375,2964.27
376,2965.68
377,2969.85
378,2972.42
379,2972.88
380,2973.77
381,2974.41
382,2974.68
383,2975.2
384,2977.68
385,2980.01
386,2980.71
387,2986.84
388,2988.99
389,2992.64
390,2994.44
391,2994.83
392,2996.06
393,2999.37
394,3002.87
395,3014.53
396,3014.73
397,3016.9
398,3018.94
399,3039.84
400,3039.94
401,3047.95
402,3060.8
403,3065.96
404,3073.16
405,3078.18
406,3089.77
407,3099.47
