,0
7.25,0.0001
10.39,0.000181
11.2,8.7e-05
13.22,0.000277
17.55,7.4e-05
19.97,0.000225
21.85,0.000185
26.12,3e-06
28.91,0.000407
29.71,5.3e-05
34.32,0.000211
39.87,6.3e-05
40.35,1.9e-05
41.89,2.4e-05
43.53,9e-05
46.6,0.000142
50.69,0.000218
52.4,0.0001
55.22,0.000423
61.94,2.9e-05
63.93,8e-06
66.41,0.000121
67.45,0.000186
71.79,4.8e-05
75.97,0.001015
84.69,0.000155
86.03,0.000134
87.35,6e-05
88.94,0.00016
94.97,0.000552
97.12,0.000206
99.86,4e-06
106.12,0.000136
115.89,5.4e-05
117.3,0.000329
118.58,0.000179
122.32,0.00052
127.88,0.000429
133.52,1e-05
139.8,0.000572
141.41,0.000146
159.33,0.000476
161.67,1.5e-05
166.26,0.001346
171.48,0.00014
177.13,0.000149
180.99,5e-05
187.27,0.001975
189.46,0.000384
198.93,0.000255
210.9,0.000721
214.8,8.6e-05
224.01,0.000114
227.07,2.6e-05
236.86,0.001366
246.19,0.000275
248.86,0.001591
253.55,0.000221
257.69,5.2e-05
259.82,4.4e-05
262.64,9e-06
267.94,0.000593
270.21,2.6e-05
275.96,0.000197
277.54,0.000431
280.49,0.000387
282.96,0.000104
287.64,0.000425
298.09,0.000226
304.07,6.3e-05
308.09,0.000457
323.98,0.000102
329.32,0.000101
339.5,0.000198
343.55,0.000207
347.3,4.1e-05
348.97,0.000566
360.04,0.000193
366.56,0.000832
375.17,0.00037
380.19,0.000431
388.77,1.9e-05
394.48,4e-06
403.77,0.00086
424.15,0.004893
428.18,0.000465
429.26,0.00062
443.85,6e-05
445.03,0.001031
453.02,0.000426
454.79,0.002658
461.83,0.002714
469.05,0.000163
492.76,0.004528
502.98,9.8e-05
511.71,0.000175
518.25,0.000191
520.11,0.002347
533.12,0.000753
551.76,0.003501
563.72,0.000272
565.0,0.000389
573.44,0.042194
579.75,0.000807
582.75,0.00676
593.94,0.000119
610.24,0.004143
673.02,0.000353
690.66,0.02734
701.73,0.025326
713.4,0.000707
714.0,0.002005
724.94,0.0011
726.19,0.001288
728.08,0.005358
733.51,0.002945
735.59,0.000524
740.45,0.000748
742.69,0.002934
749.12,0.001264
750.67,0.000815
755.26,0.000219
774.46,0.000428
775.78,0.000826
786.64,0.001457
796.46,0.006857
797.5,0.003481
804.74,0.000837
805.42,0.000358
815.34,0.000189
819.96,3.4e-05
824.43,0.000658
831.44,4.5e-05
837.36,0.001241
856.62,0.00044
857.22,0.000611
868.28,0.000132
869.69,0.000199
871.0,0.000195
875.24,0.000125
886.37,8.1e-05
892.06,0.00364
892.95,0.000274
899.83,0.001144
900.66,0.002137
910.24,0.001858
916.44,0.004281
921.74,0.000529
928.69,0.005206
932.67,0.001982
935.36,0.003417
938.94,0.001448
939.99,0.001451
950.27,0.000808
950.84,0.00096
969.71,0.000197
971.02,0.008915
975.49,0.010287
978.76,2.9e-05
979.95,0.002337
988.41,0.000276
988.99,0.000182
993.15,8.5e-05
993.68,0.000697
995.8,0.001022
1009.09,0.000732
1015.54,0.043394
1016.7,0.000607
1017.72,0.017981
1019.55,0.000793
1026.07,0.00823
1028.1,0.00673
1030.78,0.000274
1032.47,0.000575
1032.79,0.00021
1037.94,0.013648
1039.59,0.007794
1040.43,0.00223
1049.81,2.7e-05
1051.58,7.8e-05
1054.88,0.003654
1055.69,8.7e-05
1057.43,0.0005
1061.73,0.000407
1062.69,0.003637
1065.92,0.000221
1068.72,0.005904
1070.44,0.000201
1080.13,0.002748
1081.11,0.00214
1093.26,0.002932
1097.1,0.000111
1099.8,0.002366
1102.47,0.000233
1108.11,0.0007
1108.97,0.001706
1116.54,0.014811
1121.04,0.000602
1122.06,0.002459
