,0
25.15,231.0
28.0,247.0
31.07,212.0
32.7,267.0
34.31,255.0
36.55,303.0
39.11,266.0
41.48,226.0
42.66,234.0
48.67,209.0
50.83,241.0
53.6,192.0
57.42,201.0
60.15,140.0
65.09,166.0
66.69,188.0
75.56,286.0
77.16,164.0
85.3,217.0
88.27,173.0
93.44,171.0
96.99,147.0
100.7,249.0
108.42,257.0
113.72,319.0
114.88,211.0
121.01,116.0
122.66,56.0
124.94,122.0
126.42,125.0
129.42,321.0
134.01,255.0
137.75,181.0
143.36,149.0
148.55,176.0
150.86,129.0
153.75,120.0
154.87,307.0
161.44,282.0
166.38,169.0
181.18,178.0
182.84,246.0
191.5,218.0
194.15,208.0
204.21,213.0
212.58,160.0
222.28,212.0
226.75,126.0
232.67,182.0
239.64,241.0
240.16,182.0
248.61,343.0
254.0,136.0
262.83,361.0
266.0,202.0
267.44,174.0
278.07,107.0
282.41,150.0
289.58,145.0
296.52,224.0
300.77,227.0
303.45,354.0
308.65,230.0
309.76,305.0
313.02,282.0
323.07,91.0
335.27,293.0
345.36,216.0
354.54,230.0
357.54,356.0
367.79,112.0
375.16,350.0
381.15,159.0
382.14,110.0
386.81,290.0
388.72,162.0
394.55,394.0
410.15,276.0
414.44,364.0
419.04,179.0
424.55,96.0
426.47,136.0
446.27,240.0
454.64,348.0
469.83,300.0
477.41,170.0
482.6,295.0
491.7,168.0
493.37,99.0
498.63,271.0
507.97,76.0
511.1,91.0
532.68,176.0
552.45,151.0
553.33,309.0
571.39,33.0
583.85,261.0
591.05,41.0
596.51,52.0
602.62,219.0
637.15,184.0
647.35,375.0
665.6,6.0
708.15,237.0
709.31,158.0
720.11,187.0
724.2,223.0
724.73,44.0
728.77,265.0
733.09,59.0
740.23,271.0
740.62,252.0
741.3,306.0
744.31,186.0
745.64,23.0
761.42,205.0
771.77,63.0
774.44,20.0
779.46,337.0
791.96,361.0
792.55,165.0
802.06,79.0
806.15,298.0
815.49,112.0
822.63,325.0
827.46,137.0
838.35,113.0
842.22,322.0
844.05,37.0
861.74,295.0
865.75,35.0
869.93,61.0
879.51,95.0
882.97,274.0
883.49,278.0
885.52,344.0
896.08,163.0
898.7,222.0
902.3,192.0
903.09,236.0
914.02,346.0
923.05,133.0
923.56,150.0
932.8,342.0
939.08,356.0
941.44,86.0
960.34,76.0
961.25,106.0
963.3,141.0
969.53,117.0
972.67,369.0
979.28,65.0
979.97,67.0
982.48,190.0
984.15,44.0
988.78,204.0
994.37,276.0
997.14,260.0
1002.16,53.0
1004.98,93.0
1008.28,145.0
1015.27,131.0
1016.2,172.0
1019.19,340.0
1022.97,54.0
1025.04,280.0
1026.38,309.0
1028.36,49.0
1030.83,33.0
1034.45,120.0
1036.0,103.0
1042.56,248.0
1044.83,287.0
1047.21,13.0
1051.54,274.0
1053.83,338.0
1056.07,352.0
1058.04,52.0
1059.55,156.0
1065.29,205.0
1068.57,245.0
1071.55,227.0
1074.98,314.0
1077.99,200.0
