,0
20.11,281.0
22.84,321.0
29.17,93.0
30.79,157.0
33.88,166.0
35.3,215.0
37.88,286.0
40.22,296.0
44.19,191.0
48.6,223.0
50.18,234.0
51.58,260.0
55.33,186.0
58.04,177.0
63.05,135.0
63.92,186.0
68.18,291.0
72.95,310.0
78.54,281.0
82.57,86.0
87.11,272.0
90.76,130.0
92.87,163.0
94.67,183.0
97.03,209.0
100.51,165.0
103.28,170.0
109.47,314.0
115.84,301.0
122.28,174.0
124.43,104.0
128.07,198.0
135.58,217.0
140.04,106.0
141.84,136.0
147.47,156.0
153.85,259.0
160.08,99.0
161.73,158.0
167.2,195.0
171.32,285.0
181.0,255.0
188.24,336.0
195.79,314.0
201.66,266.0
207.77,90.0
213.75,319.0
216.72,286.0
230.62,262.0
234.92,249.0
244.33,295.0
245.38,295.0
247.05,124.0
248.31,94.0
257.56,289.0
260.52,178.0
267.81,27.0
273.79,352.0
274.33,139.0
275.69,82.0
284.43,244.0
295.34,348.0
296.94,170.0
304.28,282.0
307.58,181.0
309.81,178.0
317.45,370.0
327.18,361.0
337.28,363.0
343.36,207.0
350.16,263.0
361.24,334.0
380.17,365.0
391.28,229.0
400.26,325.0
405.32,130.0
409.14,113.0
422.27,310.0
425.09,202.0
427.29,265.0
430.22,342.0
441.39,225.0
443.66,320.0
446.26,359.0
453.84,337.0
463.08,311.0
474.5,227.0
480.37,328.0
484.24,328.0
499.96,312.0
508.25,290.0
509.13,16.0
521.24,100.0
557.27,135.0
561.55,339.0
571.05,333.0
575.89,132.0
581.79,366.0
591.46,303.0
594.34,268.0
622.76,326.0
667.96,386.0
687.57,335.0
713.43,276.0
714.35,11.0
722.42,168.0
726.78,79.0
730.16,199.0
730.79,172.0
732.5,71.0
733.9,64.0
737.1,278.0
738.05,100.0
747.65,200.0
750.31,252.0
757.97,119.0
760.4,41.0
779.48,243.0
785.04,66.0
796.5,248.0
798.51,368.0
801.45,254.0
809.74,76.0
813.0,274.0
824.54,35.0
839.55,373.0
843.23,253.0
847.69,212.0
851.85,96.0
861.38,270.0
865.23,60.0
868.87,108.0
874.53,96.0
881.43,192.0
883.4,155.0
897.05,361.0
897.94,73.0
905.1,226.0
909.71,220.0
911.57,230.0
921.53,368.0
922.24,256.0
926.47,66.0
935.08,68.0
941.91,381.0
948.64,106.0
950.34,220.0
959.02,257.0
969.0,236.0
971.52,181.0
976.8,111.0
980.84,110.0
983.09,118.0
987.21,204.0
987.47,214.0
990.0,115.0
994.7,74.0
1005.11,150.0
1006.08,215.0
1007.04,24.0
1013.24,217.0
1016.45,105.0
1017.52,324.0
1026.28,38.0
1027.11,306.0
1028.71,138.0
1029.97,161.0
1031.22,159.0
1032.58,194.0
1034.1,206.0
1036.39,241.0
1038.91,151.0
1041.22,146.0
1043.84,93.0
1044.17,254.0
1045.05,378.0
1053.71,345.0
1054.17,324.0
1062.15,190.0
1063.32,331.0
1063.4,112.0
1069.44,340.0
1076.49,272.0
1083.07,162.0
1090.54,124.0
1097.03,59.0
1097.87,70.0
1100.89,266.0
1103.05,304.0
1111.33,387.0
1115.35,145.0
1122.73,222.0
1123.18,356.0
1130.04,158.0
1143.75,44.0
1160.52,168.0
1165.69,247.0
1182.1,113.0
1188.25,63.0
1189.4,370.0
1191.88,211.0
1197.21,240.0
1203.49,121.0
1205.85,380.0
1210.63,289.0
1216.17,53.0
1220.12,147.0
1222.79,305.0
1225.3,219.0
1227.76,283.0
1234.79,359.0
1235.21,148.0
1239.95,75.0
1241.55,224.0
1247.65,152.0
1249.97,259.0
1252.33,353.0
1253.26,83.0
1258.29,230.0
1258.39,121.0
1260.08,187.0
1261.09,239.0
1266.0,345.0
1267.45,346.0
1268.94,127.0
1271.21,238.0
1275.68,46.0
1278.12,183.0
1279.74,38.0
1280.75,34.0
1284.09,68.0
1286.83,276.0
1287.63,175.0
1289.88,53.0
1290.88,268.0
1291.26,90.0
1294.85,142.0
1295.32,138.0
1297.19,49.0
1298.47,247.0
1300.61,375.0
1300.86,153.0
1304.62,232.0
1305.3,151.0
1312.28,317.0
1312.65,279.0
1327.83,298.0
1329.7,56.0
1330.46,102.0
1334.11,97.0
1336.72,133.0
1341.23,16.0
1342.44,323.0
1342.97,372.0
1353.67,24.0
1354.92,202.0
1355.4,30.0
1356.54,86.0
1356.86,190.0
1359.25,21.0
1360.55,14.0
1361.59,232.0
1362.29,372.0
1363.99,125.0
1364.0,129.0
1366.07,335.0
1375.98,350.0
1387.16,394.0
1387.73,185.0
1388.93,102.0
1389.24,391.0
1394.37,396.0
1404.12,394.0
1406.62,330.0
1408.34,341.0
1408.69,208.0
1414.31,52.0
1414.67,245.0
1414.92,40.0
1415.77,64.0
1417.12,88.0
1417.81,224.0
1418.81,77.0
1418.99,142.0
1420.36,175.0
1420.59,376.0
1420.9,251.0
1421.45,163.0
1422.7,116.0
1423.19,36.0
1423.92,287.0
1425.44,123.0
1426.9,48.0
1428.48,378.0
1429.76,40.0
1430.02,8.0
1430.3,108.0
1430.68,383.0
1431.14,32.0
1432.17,9.0
1433.31,391.0
1434.17,299.0
1439.05,188.0
1439.82,72.0
1440.13,20.0
1442.19,28.0
1442.88,358.0
1445.63,18.0
1445.96,304.0
1446.26,383.0
1447.17,210.0
1447.84,26.0
1452.1,386.0
1467.69,392.0
1657.73,180.0
1668.87,91.0
1753.11,349.0
1759.52,318.0
2860.23,363.0
2881.91,354.0
2887.8,235.0
2898.59,32.0
2900.18,81.0
2901.03,197.0
2901.37,299.0
2901.91,23.0
2904.23,85.0
2904.29,118.0
2905.24,8.0
2905.33,293.0
2906.64,364.0
2907.96,11.0
2908.15,166.0
2911.08,26.0
2912.87,308.0
2914.01,36.0
2914.25,47.0
2915.67,58.0
2915.87,83.0
2916.43,59.0
2916.84,241.0
2918.76,18.0
2920.44,270.0
2923.12,3.0
2924.94,42.0
2925.58,6.0
2925.98,329.0
2926.34,14.0
2928.71,261.0
2932.89,116.0
2933.12,195.0
2935.14,275.0
2935.42,51.0
2938.05,5.0
2940.52,49.0
2941.32,380.0
2941.99,29.0
2942.01,133.0
2945.87,293.0
2948.21,355.0
2950.25,322.0
2950.44,12.0
2952.43,351.0
2953.61,376.0
2953.71,206.0
2953.74,79.0
2956.01,61.0
2960.63,20.0
2962.07,200.0
2963.21,44.0
2963.28,234.0
2966.58,400.0
2968.05,56.0
2968.26,302.0
2969.54,279.0
2971.6,144.0
2971.99,396.0
2973.34,141.0
2975.68,55.0
2979.15,244.0
2980.52,127.0
2983.1,146.0
2983.89,315.0
2991.12,2.0
2996.13,344.0
2997.63,4.0
3000.23,4.0
3006.77,1.0
3011.87,350.0
3013.13,339.0
3013.81,89.0
3022.95,309.0
3026.47,384.0
3028.83,171.0
3038.94,70.0
3054.63,204.0
3058.3,398.0
3059.43,397.0
3065.42,400.0
3078.59,401.0
3082.94,388.0
3099.92,390.0
